,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,700,1,8,ignore,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : ignore",0,"[10.536689   8.093359  -4.431939   3.7136986 12.457631  15.361237
  5.825262  -1.1696604  1.771473   6.1066275]",10.450506,8.1719885,-4.35326,3.7686925,12.321937,15.478949,6.0117464,-1.3057288,1.7036085,6.1625323,"[10.450506210327148, 8.171988487243652, -4.353260040283203, 3.7686924934387207, 12.32193660736084, 15.478948593139648, 6.011746406555176, -1.305728793144226, 1.703608512878418, 6.162532329559326]",0.3407577298895814,5.9438024,-4.591515,Ignore and pretend did n't see anything .
1,701,2,8,I would get the families attention while stopping the teenager.,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : get the families attention while stopping the teenager .",8,"[14.187384    5.6963677  -4.013212    0.49317417 13.388712   10.811145
  2.6955237   0.22228044  2.5575738   7.2475314 ]",14.088602,5.4056573,-4.112647,0.80393285,13.575102,10.6615,2.604365,0.018132059,2.3785574,7.5777216,"[14.088602066040039, 5.4056572914123535, -4.11264705657959, 0.8039328455924988, 13.575101852416992, 10.661499977111816, 2.604365110397339, 0.018132058903574944, 2.3785574436187744, 7.57772159576416]",0.6700166174364958,14.027798,-2.06185,let the family know
2,702,3,8,"Walk over and ask if they are with the family, if yes, then I would ask that we walk down to make sure.",decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : Walk over and ask if are with the family , if yes , then ask that walk down to make sure .",5,"[14.800894    5.207448   -4.2628965   0.04486197 13.126018   10.862851
  2.6651134  -0.10723248  2.035909    7.3160563 ]",14.970281,5.237374,-4.2687125,-0.3068689,13.026471,10.91969,2.7394173,-0.064988725,2.0918965,7.379712,"[14.970280647277832, 5.2373738288879395, -4.268712520599365, -0.30686891078948975, 13.026471138000488, 10.919690132141113, 2.739417314529419, -0.06498872488737106, 2.0918965339660645, 7.379712104797363]",0.42540374375391343,15.624723,-2.9949148,say hello to the person and see if act spooked .
3,703,4,8,alert the authorities,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : alert the authorities",2,"[10.917483   6.6888194 -2.9770257  2.3138635 13.895138   6.568476
  2.9528444  1.823863   4.1233163  6.351751 ]",11.187339,6.4524717,-3.0782359,2.3068185,13.824166,7.032373,2.9204817,1.8678511,3.967351,6.409022,"[11.187338829040527, 6.452471733093262, -3.0782358646392822, 2.3068184852600098, 13.824166297912598, 7.032372951507568, 2.9204816818237305, 1.8678511381149292, 3.967350959777832, 6.409021854400635]",0.6243395967940172,15.475776,3.3739657,call 911
4,704,5,8,Ignore them.,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : Ignore .",0,"[10.536689   8.093359  -4.431939   3.7136986 12.457631  15.361237
  5.825262  -1.1696604  1.771473   6.1066275]",10.440725,8.229872,-4.3508987,3.7353058,12.325025,15.487116,6.073492,-1.3459506,1.721304,6.204169,"[10.440725326538086, 8.22987174987793, -4.350898742675781, 3.7353057861328125, 12.325024604797363, 15.487115859985352, 6.073492050170898, -1.3459506034851074, 1.7213040590286255, 6.204168796539307]",0.41597691794735536,5.933941,-4.6047664,Ignore and pretend did n't see anything .
5,705,6,8,I would ask the teenager if his parents were around.,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : ask the teenager if parents were around .",13,"[15.28004     5.3875303  -4.2260795  -0.6733907  12.933895   11.241892
  2.801503    0.17032059  1.9683845   6.744516  ]",15.154109,5.5732656,-4.2439013,-0.6427374,12.895457,11.282087,2.8624215,0.18299949,2.1112335,6.7904067,"[15.154109001159668, 5.573265552520752, -4.243901252746582, -0.6427373886108398, 12.89545726776123, 11.282087326049805, 2.8624215126037598, 0.18299949169158936, 2.1112334728240967, 6.790406703948975]",0.2847633084674759,15.2848835,-4.0320845,ask the family if that is also son over there
6,706,7,8,Mind my business unless I was 100% positive he was not a member of the family.,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : Mind business unless was 100 % positive was not a member of the family .",4,"[14.120774   7.5565825 -5.2754674  1.7246343 12.957141  13.52721
  3.251966  -0.6468082  3.1638684  6.9196615]",14.091353,7.469278,-5.269046,1.7781667,12.865124,13.4463415,3.2646122,-0.7309182,3.109494,6.903102,"[14.091353416442871, 7.469277858734131, -5.269045829772949, 1.778166651725769, 12.865123748779297, 13.446341514587402, 3.2646121978759766, -0.7309182286262512, 3.1094939708709717, 6.903101921081543]",0.1920071949845992,11.039562,-5.8424397,Do nothing .
7,707,8,8,I would say hello to them and see how they react,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : say hello to and see how react",5,"[14.800894    5.207448   -4.2628965   0.04486197 13.126018   10.862851
  2.6651134  -0.10723248  2.035909    7.3160563 ]",14.819075,5.131245,-4.3809266,0.123594,12.9905815,11.056342,2.6972072,0.0159752,1.7050613,6.9584856,"[14.819074630737305, 5.131245136260986, -4.380926609039307, 0.1235940009355545, 12.990581512451172, 11.056342124938965, 2.69720721244812, 0.01597519963979721, 1.7050613164901733, 6.9584856033325195]",0.5792892157953622,14.979743,-3.3025866,say hello to the person and see if act spooked .
8,708,9,8,"I would yell at the teenager and ask Loudly, ""Are you supposed to be going through that bag?""",decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : yell at the teenager and ask Loudly , `` Are supposed to be going through that bag ? ''",10,"[13.3541355   5.8091903  -4.0684323   2.5252607  13.671037   11.430886
  2.8791485  -0.58281344  1.9413326   6.721559  ]",13.369259,5.7380967,-4.042814,2.600977,13.700358,11.522175,2.886577,-0.69828975,1.8190979,6.752455,"[13.369258880615234, 5.738096714019775, -4.042813777923584, 2.6009769439697266, 13.700358390808105, 11.522174835205078, 2.8865768909454346, -0.6982897520065308, 1.819097876548767, 6.752455234527588]",0.22394528627735255,11.673225,-2.995082,start shouting
9,709,10,8,I would just carefully watch and be ready to act if I needed to. Also taking care of what judgment I would make. ,decision,,,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","is sunbathing at the beach next to a family with young children . When the family is playing in the water , sees a teenager begin to go through belongings but isn ’ t sure whether or not ’ s part of the family . : just carefully watch and be ready to act if needed to . Also taking care of what judgment make .",14,"[14.070989    6.8561635  -4.910735    1.4557498  13.017216   12.624217
  3.129515   -0.48626715  2.7137706   6.87499   ]",14.3544855,6.734924,-5.0651846,0.9697028,12.973063,12.517591,3.0570345,-0.25438896,2.7944937,6.645649,"[14.354485511779785, 6.734923839569092, -5.065184593200684, 0.9697027802467346, 12.973063468933105, 12.51759147644043, 3.057034492492676, -0.2543889582157135, 2.7944936752319336, 6.645648956298828]",0.6975805879124555,12.357147,-5.2008605,mind own business and not say anything .
