,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,1400,0,15,Do some math and ration food,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Do some math and ration food,5,"[ -1.8906405  13.315487    3.8596318   8.557793    3.8862705 -11.518215
  -1.2898186  12.024365    7.74495     3.7477624]",-1.9979539,12.914648,3.948009,8.582571,3.948144,-11.492935,-1.2879387,12.07467,7.862635,3.4720793,"[-1.9979538917541504, 12.914648056030273, 3.9480090141296387, 8.582571029663086, 3.94814395904541, -11.492935180664062, -1.2879387140274048, 12.07466983795166, 7.862635135650635, 3.472079277038574]",0.5267494311222747,16.397945,31.738195,Set up a daily routine and plan for food rationing .
1,1401,1,15,I pray for a miracle to happen for all of us on the ship.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : pray for a miracle to happen for all of on the ship .,6,"[ -3.2654705   9.930589    7.2082086   8.295187    3.3269289 -10.220419
  -0.5531433  12.450632    9.259158    2.3161058]",-3.4177318,9.837624,7.3707776,8.359991,3.3094664,-10.054999,-0.43220884,12.475724,9.378503,2.3983831,"[-3.417731761932373, 9.837623596191406, 7.370777606964111, 8.359991073608398, 3.3094663619995117, -10.054999351501465, -0.4322088360786438, 12.475724220275879, 9.37850284576416, 2.398383140563965]",0.35551416629832705,10.113298,30.997498,"The passanger is high rate and good ,"
2,1402,2,15,Let the crew know to start rationing food and water.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Let the crew know to start rationing food and water .,4,"[ -2.4372265  11.980776    5.0817223   8.549169    3.6293988 -10.949735
  -1.119846   12.356668    8.352496    3.182684 ]",-2.3636537,12.288832,4.8296585,8.850671,3.4663439,-10.927183,-1.1794697,12.426196,8.212771,3.3896728,"[-2.3636536598205566, 12.28883171081543, 4.829658508300781, 8.85067081451416, 3.466343879699707, -10.927183151245117, -1.1794697046279907, 12.426196098327637, 8.21277141571045, 3.3896727561950684]",0.5938038843769692,14.065269,32.8182,"Keep the food and water under supervision , ration the remaining supplies and find containers to store easch individual 's urine ."
3,1403,3,15,"eat less, ration, triage",decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,"is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : eat less , ration , triage",1,"[ -2.247027   12.688431    4.579525    8.18754     4.0693836 -11.174968
  -0.9955807  12.317394    8.1622505   3.5826185]",-2.432088,12.829609,4.3422966,8.399533,3.9615126,-11.079919,-0.9450394,12.385815,8.043553,3.587238,"[-2.4320878982543945, 12.829608917236328, 4.342296600341797, 8.39953327178955, 3.961512565612793, -11.07991886138916, -0.9450393915176392, 12.385814666748047, 8.043553352355957, 3.587238073348999]",0.4443127904735024,15.570372,32.022648,Feed everyone normally until food runs out
4,1404,4,15,Ration food and try to assign people tasks to keep them distracted and hopeful.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Ration food and try to assign people tasks to keep distracted and hopeful .,4,"[ -2.4372265  11.980776    5.0817223   8.549169    3.6293988 -10.949735
  -1.119846   12.356668    8.352496    3.182684 ]",-2.4357445,11.793918,5.2701416,8.418997,3.6775956,-10.952383,-1.2658656,12.22987,8.420987,3.0476077,"[-2.435744524002075, 11.793917655944824, 5.2701416015625, 8.418996810913086, 3.677595615386963, -10.952383041381836, -1.2658655643463135, 12.229869842529297, 8.420987129211426, 3.047607660293579]",0.38733820609134556,13.480746,31.885368,"Keep the food and water under supervision , ration the remaining supplies and find containers to store easch individual 's urine ."
5,1405,5,15,I would conserve food but make sure there was ample water.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : conserve food but make sure there was ample water .,1,"[ -2.247027   12.688431    4.579525    8.18754     4.0693836 -11.174968
  -0.9955807  12.317394    8.1622505   3.5826185]",-2.1880674,12.31121,4.596356,8.577207,3.722956,-11.162346,-0.7927184,12.435691,8.205397,3.2484665,"[-2.1880674362182617, 12.311209678649902, 4.59635591506958, 8.5772066116333, 3.7229559421539307, -11.162345886230469, -0.7927184104919434, 12.435690879821777, 8.20539665222168, 3.2484664916992188]",0.7659850289710343,14.403938,32.097137,Feed everyone normally until food runs out
6,1406,6,15,Set off flares.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Set off flares .,6,"[ -3.2654705   9.930589    7.2082086   8.295187    3.3269289 -10.220419
  -0.5531433  12.450632    9.259158    2.3161058]",-3.3805666,9.690588,7.39447,8.509364,3.2782395,-10.331796,-0.7469802,12.612208,8.893773,2.1694994,"[-3.3805665969848633, 9.690587997436523, 7.39447021484375, 8.509364128112793, 3.2782394886016846, -10.331795692443848, -0.7469801902770996, 12.612208366394043, 8.893773078918457, 2.169499397277832]",0.6203768649752849,9.678055,31.444595,"The passanger is high rate and good ,"
7,1407,7,15,"I would count the food supply, secure it, and come up with a ration plan before telling everyone.",decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,"is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : count the food supply , secure , and come up with a ration plan before telling everyone .",5,"[ -1.8906405  13.315487    3.8596318   8.557793    3.8862705 -11.518215
  -1.2898186  12.024365    7.74495     3.7477624]",-2.0044472,12.780307,4.045474,8.6388235,3.8524518,-11.4639225,-1.362375,12.092618,7.894631,3.4007914,"[-2.0044472217559814, 12.780306816101074, 4.045474052429199, 8.638823509216309, 3.852451801300049, -11.463922500610352, -1.362375020980835, 12.092617988586426, 7.8946309089660645, 3.4007914066314697]",0.7051812674455014,16.354729,31.827295,Set up a daily routine and plan for food rationing .
8,1408,8,15,I would ration supplies and explain the situation to the crew and passangers.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : ration supplies and explain the situation to the crew and passangers .,4,"[ -2.4372265  11.980776    5.0817223   8.549169    3.6293988 -10.949735
  -1.119846   12.356668    8.352496    3.182684 ]",-2.4112272,11.792357,5.1204557,8.739827,3.4718456,-11.011865,-1.258545,12.271111,8.32544,3.0247416,"[-2.411227226257324, 11.792357444763184, 5.120455741882324, 8.739827156066895, 3.4718456268310547, -11.01186466217041, -1.2585450410842896, 12.271110534667969, 8.325440406799316, 3.0247416496276855]",0.3936330006341923,13.485836,32.255558,"Keep the food and water under supervision , ration the remaining supplies and find containers to store easch individual 's urine ."
9,1409,9,15,Make sure that we ration the food and water to the bare minimum and keep everyone calm by reassuring them that everything will be ok.,decision,,,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Make sure that ration the food and water to the bare minimum and keep everyone calm by reassuring that everything will be ok .,4,"[ -2.4372265  11.980776    5.0817223   8.549169    3.6293988 -10.949735
  -1.119846   12.356668    8.352496    3.182684 ]",-2.5369422,11.696359,5.275311,8.607762,3.527797,-10.906015,-1.0012207,12.471707,8.422465,3.0255082,"[-2.53694224357605, 11.696358680725098, 5.27531099319458, 8.607762336730957, 3.527796983718872, -10.906015396118164, -1.001220703125, 12.471707344055176, 8.422465324401855, 3.025508165359497]",0.4482033981008504,13.308083,32.487713,"Keep the food and water under supervision , ration the remaining supplies and find containers to store easch individual 's urine ."
