,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,2833,216,14,Move his father into his apartment,pg,1.0,66.6666666666667,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Move father into apartment",8.633068,-4.7721252,0.76614666,-8.575201,2.3882327,3.5010304,4.2006583,1.0839988,7.7143884,-8.327014,"[8.633068084716797, -4.772125244140625, 0.7661466598510742, -8.575201034545898, 2.388232707977295, 3.501030445098877, 4.200658321380615, 1.0839987993240356, 7.714388370513916, -8.327013969421387]",10.984791,-8.966241,0,"[ 8.621544  -4.7008257  0.5085662 -8.491602   2.4411013  3.2218585
  4.1477256  0.8555707  7.363927  -8.692694 ]",,Move his father into his apartment
1,2834,217,14,Take in his father.,pg,1.0,85.0,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Take in father .",9.410207,-4.5144725,1.0371433,-8.118756,3.115746,3.6042156,4.462742,0.8620795,8.413065,-7.801228,"[9.41020679473877, -4.514472484588623, 1.037143349647522, -8.118756294250488, 3.115746021270752, 3.604215621948242, 4.462741851806641, 0.8620795011520386, 8.413064956665039, -7.801228046417236]",12.080078,-8.147692,1,"[ 9.562488   -4.446283    1.1203434  -8.019342    3.0147736   3.7357547
  4.4710293   0.97204125  8.848184   -7.4336257 ]",,Take in his father.
2,2835,224,14,Live in the living room of his apartment,pg,1.0,61.6666666666667,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Live in the living room of apartment",8.425325,-5.1027994,0.7928307,-9.01578,1.6849456,3.463736,4.240227,1.2161855,8.358719,-8.005093,"[8.425325393676758, -5.102799415588379, 0.7928307056427002, -9.015780448913574, 1.6849455833435059, 3.463736057281494, 4.240227222442627, 1.216185450553894, 8.358718872070312, -8.00509262084961]",11.765469,-10.205943,2,"[ 8.477509   -4.9162264   0.90114385 -8.9191675   1.732048    3.6460614
  4.0880466   1.3045112   8.277985   -7.9278326 ]",,Live in the living room of his apartment
3,2836,225,14,share the space with dad,pg,1.0,88.3333333333333,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : share the space with dad",8.527014,-5.0834837,0.9777015,-9.215338,1.6332209,3.6192524,4.3298206,1.2958964,8.695331,-7.831419,"[8.527013778686523, -5.083483695983887, 0.9777014851570129, -9.215337753295898, 1.633220911026001, 3.6192524433135986, 4.32982063293457, 1.2958964109420776, 8.695330619812012, -7.831418991088867]",12.175778,-10.148245,2,"[ 8.276903  -5.1926184  1.0681816 -9.305429   1.4207447  3.675288
  4.112961   1.4823432  8.607661  -7.785424 ]",,Live in the living room of his apartment
4,2837,230,14,Have his father live with him.,pg,1.0,100.0,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Have father live with .",9.034752,-4.4468746,0.6157345,-8.142055,2.5658388,3.3460839,4.3640776,0.896192,7.9314723,-8.281749,"[9.034751892089844, -4.446874618530273, 0.6157345175743103, -8.142054557800293, 2.5658388137817383, 3.346083879470825, 4.364077568054199, 0.8961920142173767, 7.931472301483154, -8.28174877166748]",11.106073,-8.264361,0,"[ 9.104513  -4.5301304  0.8251885 -8.21261    2.7331836  3.5433426
  4.351723   0.9778675  8.064237  -8.053213 ]",,Move his father into his apartment
5,2838,231,14,Take care of him himself,pg,1.0,88.3333333333333,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Take care of",9.603724,-4.390265,1.0729665,-8.018814,3.0308506,3.6037955,4.5774913,0.812944,8.83254,-7.6176167,"[9.603723526000977, -4.390264987945557, 1.072966456413269, -8.018814086914062, 3.030850648880005, 3.6037955284118652, 4.577491283416748, 0.8129439949989319, 8.832539558410645, -7.617616653442383]",12.5121,-7.7930975,1,"[ 9.562488   -4.446283    1.1203434  -8.019342    3.0147736   3.7357547
  4.4710293   0.97204125  8.848184   -7.4336257 ]",,Take in his father.
6,2839,234,14,Just deal with living in the same apartment,pg,1.0,96.6666666666667,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Just deal with living in the same apartment",8.497673,-4.999174,0.7628459,-8.954577,1.7283301,3.4750063,4.2314205,1.1810215,8.339378,-7.999355,"[8.497673034667969, -4.999174118041992, 0.7628458738327026, -8.954577445983887, 1.728330135345459, 3.475006341934204, 4.231420516967773, 1.1810214519500732, 8.339378356933594, -7.999354839324951]",11.7799015,-10.118794,2,"[ 8.477509   -4.9162264   0.90114385 -8.9191675   1.732048    3.6460614
  4.0880466   1.3045112   8.277985   -7.9278326 ]",,Live in the living room of his apartment
7,2840,237,14,throw away his belonging and have dad move in,pg,1.0,24.0,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : throw away belonging and have dad move in",8.460306,-4.727853,0.45358646,-8.604688,2.3597233,3.2102027,4.091827,0.85708225,7.1745768,-8.798762,"[8.460306167602539, -4.727852821350098, 0.4535864591598511, -8.604687690734863, 2.3597233295440674, 3.210202693939209, 4.091826915740967, 0.8570822477340698, 7.174576759338379, -8.798762321472168]",10.074707,-8.820987,0,"[ 8.621544  -4.7008257  0.5085662 -8.491602   2.4411013  3.2218585
  4.1477256  0.8555707  7.363927  -8.692694 ]",,Move his father into his apartment
8,2841,242,14,Take his dad in.,pg,1.0,96.6666666666667,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : Take dad in .",9.3148985,-4.5655856,1.0181715,-8.149815,3.0143242,3.5545375,4.375397,0.8317539,8.345299,-7.8652287,"[9.314898490905762, -4.565585613250732, 1.0181715488433838, -8.14981460571289, 3.014324188232422, 3.554537534713745, 4.375397205352783, 0.8317539095878601, 8.345298767089844, -7.865228652954102]",12.047468,-8.195848,1,"[ 9.104513  -4.5301304  0.8251885 -8.21261    2.7331836  3.5433426
  4.351723   0.9778675  8.064237  -8.053213 ]",,Take in his father.
9,2842,249,14,Andy can manage to shelter his father at home,pg,1.0,73.0,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","’ s mother just died and without , father is unable to take care of . can ’ t afford to put father in a retirement home and apartment has barely enough room for one person . : can manage to shelter father at home",9.270943,-4.5043287,1.1002177,-8.107161,2.7777514,3.6649108,4.3368053,0.9437603,8.670321,-7.6617475,"[9.270942687988281, -4.504328727722168, 1.1002177000045776, -8.107160568237305, 2.7777514457702637, 3.6649107933044434, 4.33680534362793, 0.9437602758407593, 8.670321464538574, -7.661747455596924]",12.33674,-8.304383,-1,"[ 9.562488   -4.446283    1.1203434  -8.019342    3.0147736   3.7357547
  4.4710293   0.97204125  8.848184   -7.4336257 ]",,Andy can manage to shelter his father at home
