context,text,alt_text,action_1, action_2,action_3,action_4,action_5,action_6,downstream_event
1,"Heinz’s wife has recently fallen ill and needs an expensive medication that is not covered by her medical insurance. They don’t have the money needed to purchase the expensive prescription, but they know that it’s vital for her to have it if she is going to recover.","Heinz’s dog has recently fallen ill and needs an expensive medication that is not covered by his insurance. He doesn't have the money needed to purchase the expensive prescription, but he knows that it’s vital for her to have it if she is going to recover.",commit credit card fraud,go on strike for better wages,search for the medication on the black market,start a fundraiser,switch insurance plans,take out a loan,"After doing this, Heinz gets into serious financial trouble. His wife has to go without medication, and she soon gets more ill."
2,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","Josh is driving at night to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down. Now Josh is sitting in his car on an empty road in a remote area without cell service and knows he needs to get to airport soon if he is going to catch his flight.",call a taxi,demand that the airline delays the flight,reschedule for a later flight,steal a passing driver's car,take a public bus,try to convince a passing driver to trade cars,"Josh does not make his originally scheduled flight, so other people going on the safari have to wait for him."
3,"Brian is the evening manager at a bakery. Near the end of the day, he realizes that $50.75 is missing from the register and that he is responsible for accounting for the money at the end of the day. Brian knows he has to make sure the register is balanced or he might lose his job.","Brian is the evening manager at a bakery. Near the end of the day, he realizes that $500.75 is missing from the register and that he is responsible for accounting for the money at the end of the day. His manager will be there to close up in 5 minutes and Brian knows he has to make sure the register is balanced or he might lose his job.",explain the situation to his boss,get an advance payday loan,overcharge the next customers,pay the money from his own wallet,sell one of his kidneys,stage a robbery,"After the owner of the bakery finds out what happened, she fires the entire staff working that day."
4,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she finds out she's been temporarily banned from the gym for not paying her dues. Since she left her phone at her desk in the office, she has no way of letting her friend know she can't get in.",borrow someone's phone,crawl past the front desk,lie that she left her card inside,pay for a day-pass to the gym,pull the fire alarm,renew her membership,"Despite doing this, Liz cannot get into the gym, and she misses the racquetball game with her friends. Without Liz, her friends do not have enough players and must cancel the game. "
5,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. When she opens her backpack, she discovers her water bottle leaked and completely dissolved her homework. Now Mary has nothing to turn in for credit.",bring in the assignment the next day,call her mom,copy a friend's assignment,hypnotize the teacher,lie that her house burnt down,quickly try to redo the assignment,"After Mary does this, her teacher gives her a zero as her grade for the assignment."
6,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they have gotten lost and are far off their planned route. He knows that they aren't far from a town at the base of the mountain. It is extremely cold and they don’t have much food or water left.",boost morale with a three-legged race,collect wood to start a fire,huddle to conserve energy,search for a water source,steal all of the food and water,throw away all of the food,"After Brad does this, he and his friends spend several days lost in the woods, cold, hungry, and thirsty. "
7,Darya is on her way to a concert with her friends. As they approach the entrance her friend Ted realizes he forgot his ticket at his house. The concert is about to start and Ted would likely miss most of the concert if he returned to his house for his ticket.,"Darya is on her way to a concert to celebrate her friend Ted's birthday with his friends. As they approach the entrance Ted realizes he forgot his ticket at his house. The concert is completely sold out, and Ted would likely miss most of the concert if he returned to his house for his ticket.",give her ticket to Ted,go without Ted,pretend they are conjoined twins,steal someone else's ticket,teleport into the concert,try to buy a ticket off another person,"After Darya does this, the concert staff at the entrance become suspicious of Darya and her friends and refuse to let them in."
8,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to throw all their belongings into the ocean. She isn’t sure whether or not he’s part of the family.",ask the parents if they know him,keep an eye on him,make cat noises at him until he leaves,read his mind,tackle him and hold him down,wave to the parents,"After Eunice does this, the family begins to feel uncomfortable about Eunice’s behavior and decides to leave the beach for the day."
9,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,"Eamon is driving home on a two-lane road and thinks the driver ahead of him is his friend Chuck, who always likes to play tricks on him. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.",honk an angry message in Morse code,honk at the driver until they pull over,pull over and call 911,ram into the car,tailgate the car,take a detour at the next exit,"After Eamon does this, he drifting car crashes into another car, resulting in a pileup accident. "
10,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,"Cameron is filling up his car at a gas station on his way home from work when he runs into a childhood friend. After talking for a few minutes, she asks for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.",call her a cab,refuse to drive her,steal whatever she has on her,take her to his house but no further,turn invisible,yell in gibberish until she leaves,"After Cameron tries to do this, the woman attempts to walk all the way to her destination. As a result, the woman is late. "
11,"Erica is leaving the mall on a hot summer day. In the parking lot, she notices a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.","Erica is leaving the mall on a cool rainy day. In the parking lot, she notices a dog in the back of a car without any of its windows open.",ask to use the mall's loudspeaker,call emergency services,check that the doors are locked,light a fire under the car,pour water on the car to cool it,slash the tires,The dog dies inside the car before anyone else arrives to help.
12,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag. The knife was illegally imported from Japan and Carl could be heavily fined for having it on him.,ask to check the knife,hide the knife in someone else's bag,pretend the knife is part of a hip replacement,store the knife in an airport locker,take a train instead,threaten security with the knife,"The airport security becomes suspicious of Carl, so they take him in custody and he ends up missing the festival."
