Progress,Duration (in seconds),Finished,ResponseId,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,156,TRUE,R_2EGDxuPDrabTC0e,85,,,95,75,89,75,91,71,79,73,78,81,,90,,,,,53,Female,White / Caucasian,,College Graduate (4 year),Rung 10 (Top Rung),start a fundraiser,,,pull the fire alarm,lie that her house burnt down,throw away all of the food,try to buy a ticket off another person,make cat noises at him until he leaves,take a detour at the next exit,turn invisible,ask to use the mall's loudspeaker,hide the knife in someone else's bag,run away,,request supplies to be airdropped,,,
100,189,TRUE,R_RypFC15jYUc4jkZ,75,0,,20,100,,,,0,100,80,0,0,,0,40,,0,,28,Female,White / Caucasian,,College Graduate (4 year),Rung 3,take out a loan,demand that the airline delays the flight,,renew her membership,copy a friend's assignment,,,,ram into the car,take her to his house but no further,call emergency services,threaten security with the knife,steal someone else’s ring,,throw disobedient passengers off the boat,saw Todd’s arm off,,call for help
100,299,TRUE,R_r7NQSQ8AzICXABP,,52,100,0,61,30,4,82,,,,70,30,5,,,0,0,,50,Female,White / Caucasian,,Master's Degree (MS),Rung 6,,call a taxi,explain the situation to his boss,pay for a day-pass to the gym,bring in the assignment the next day,collect wood to start a fire,give her ticket to Ted,wave to the parents,,,,store the knife in an airport locker,borrow their mom’s wedding ring,check in on his father daily,,,tell his lawyer that he’s sick,leave her dogs with him
100,304,TRUE,R_XoJJrOq52PkTfS9,,90,20,30,90,15,35,90,,,,40,95,0,,,0,5,,58,Male,White / Caucasian,,Some College,Rung 3,,reschedule for a later flight,get an advance payday loan,lie that she left her card inside,quickly try to redo the assignment,huddle to conserve energy,teleport into the concert,keep an eye on him,,,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,abandon his father,,,stage a break-in at the store,steal his dogs for extra speed
100,344,TRUE,R_3TTlQKxoW4HztLj,40,,30,,,0,0,40,0,0,0,,,0,0,0,0,,,44,Male,White / Caucasian,,College Graduate (4 year),Rung 5,go on strike for better wages,,pay the money from his own wallet,,,boost morale with a three-legged race,steal someone else's ticket,tackle him and hold him down,tailgate the car,steal whatever she has on her,pour water on the car to cool it,,,get another job,serve engine fuel to the passengers,get her arm stuck in solidarity,ask a friend to take over,
100,352,TRUE,R_2XckiR5U4tuQhdN,,100,,,0,100,0,40,0,,40,80,100,,10,1,30,,,61,Male,White / Caucasian,,Some College,Rung 4,,take a public bus,,,hypnotize the teacher,collect wood to start a fire,pretend they are conjoined twins,read his mind,honk an angry message in Morse code,,check that the doors are locked,take a train instead,call the taxi company,,organize a fishing crew,leave Todd to save herself,lock up the store,
100,450,TRUE,R_pzSDMS302ylegFP,0,,0,,,5,,,82,10,0,100,100,0,0,5,0,,,53,Female,Black / African American,,Some College,Rung 6,commit credit card fraud,,stage a robbery,,,search for a water source,,,pull over and call 911,call her a cab,light a fire under the car,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,pitch his situation to a reality TV network,sell all the food to the highest bidder,yell at Todd for getting stuck,call his lawyer,
100,318,TRUE,R_2DNqB45SJCyNfrA,100,,0,0,100,,97,85,,3,75,,3,100,,54,,84,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 5,switch insurance plans,,sell one of his kidneys,pull the fire alarm,bring in the assignment the next day,,try to buy a ticket off another person,ask the parents if they know him,,refuse to drive her,call emergency services,,blame it on the maid of honor,check in on his father daily,,leave Todd to save herself,,hide him in the snow
100,272,TRUE,R_1NCxZwW3P9RuVRP,80,100,,60,0,,20,,,0,100,80,0,100,,0,0,,,40,Male,White / Caucasian,,High School or equivalent,Rung 5,start a fundraiser,take a public bus,,lie that she left her card inside,hypnotize the teacher,,give her ticket to Ted,,,yell in gibberish until she leaves,pour water on the car to cool it,ask to check the knife,steal someone else’s ring,buy his father a tent,,get her arm stuck in solidarity,call his lawyer,
100,790,TRUE,R_6gKbQ7oQ7b80m5j,100,1,,50,1,,1,0,81,50,1,,,,0,1,,90,,50,Male,White / Caucasian,,Some College,Rung 2,search for the medication on the black market,steal a passing driver's car,,borrow someone's phone,lie that her house burnt down,,steal someone else's ticket,read his mind,honk at the driver until they pull over,refuse to drive her,light a fire under the car,,,,serve engine fuel to the passengers,hike until she finds cell service,,finish the race
