,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,400,1,5,Explain to the teacher and ask for an extra day,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Explain to the teacher and ask for an extra day,18,"[11.644156  14.881598   2.2422483 14.46595    1.60526    3.9870882
  1.647042   4.9906297  5.0077553  3.6376448]",11.589335,14.826934,2.3030982,14.445237,1.6209155,4.098871,1.5932779,5.086183,4.9755917,3.7240102,"[11.589335441589355, 14.826933860778809, 2.303098201751709, 14.445237159729004, 1.6209155321121216, 4.098871231079102, 1.593277931213379, 5.086183071136475, 4.975591659545898, 3.7240102291107178]",0.20827952211839415,17.903978,5.234491,ask for another day
1,401,2,5,"I tell them to call my mom, so I can turn in my homework assignment.",decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : tell to call mom , so can turn in homework assignment .",12,"[12.737644   15.438706    0.48728225 14.875552    1.0719413   1.3649766
  1.2652152   3.4464564   6.208065    2.7026725 ]",12.744844,15.468935,0.5195383,14.896586,1.0391264,1.3280239,1.2510531,3.409457,6.2032847,2.7112575,"[12.744844436645508, 15.468935012817383, 0.5195382833480835, 14.896586418151855, 1.0391263961791992, 1.328023910522461, 1.2510530948638916, 3.409456968307495, 6.203284740447998, 2.7112574577331543]",0.08097469256772284,22.894918,9.598174,"tell to call mom , so can turn in homework assignment ."
2,402,3,5,"Go to the office and call home, then have mom call the teacher.",decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Go to the office and call home , then have mom call the teacher .",14,"[12.455668   15.097011    0.06614912 14.319499    1.7760816   2.119399
  2.005542    3.020827    5.9665375   2.7599535 ]",12.158623,15.318062,0.2670411,14.227551,1.8900999,2.1324224,1.580574,3.080719,5.644686,3.0094714,"[12.158622741699219, 15.318061828613281, 0.26704108715057373, 14.227551460266113, 1.8900998830795288, 2.13242244720459, 1.5805740356445312, 3.080718994140625, 5.644686222076416, 3.0094714164733887]",0.7410221220039719,21.547186,8.670638,do n't turn in homewortk
3,403,4,5,explain to the teacher,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : explain to the teacher,8,"[12.973617  15.599076   1.7487528 14.7548485  1.8526278  3.5168493
  2.6236207  4.153316   5.580006   3.88196  ]",13.011435,15.562165,1.6233014,14.7603655,1.8100781,3.4316244,2.724634,4.070659,5.6532984,3.785673,"[13.011434555053711, 15.562165260314941, 1.623301386833191, 14.76036548614502, 1.8100781440734863, 3.431624412536621, 2.7246339321136475, 4.070659160614014, 5.653298377990723, 3.785672903060913]",0.24354390459908606,18.976532,7.7256207,explain the situation to the teacher
4,404,5,5,Explain to the teacher what happened.,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Explain to the teacher what happened .,8,"[12.973617  15.599076   1.7487528 14.7548485  1.8526278  3.5168493
  2.6236207  4.153316   5.580006   3.88196  ]",12.9313,15.632266,1.8537984,14.725402,1.9027337,3.5716317,2.5879683,4.31545,5.5770416,3.9653063,"[12.931300163269043, 15.6322660446167, 1.8537983894348145, 14.725401878356934, 1.9027336835861206, 3.571631669998169, 2.587968349456787, 4.315450191497803, 5.5770416259765625, 3.965306282043457]",0.23413589153481168,18.950031,7.094758,explain the situation to the teacher
5,405,6,5,Ask the teacher to call my mom.,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Ask the teacher to call mom .,12,"[12.737644   15.438706    0.48728225 14.875552    1.0719413   1.3649766
  1.2652152   3.4464564   6.208065    2.7026725 ]",12.710718,15.541042,0.7321586,14.910679,1.1037402,1.4933808,1.158777,3.5637107,6.0805073,2.9265556,"[12.710718154907227, 15.54104232788086, 0.7321586012840271, 14.91067886352539, 1.1037402153015137, 1.4933807849884033, 1.1587769985198975, 3.5637106895446777, 6.080507278442383, 2.926555633544922]",0.42587210964446964,22.837563,9.338088,"tell to call mom , so can turn in homework assignment ."
6,406,7,5,Talk to my teacher and ask if I can bring it the next day,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Talk to teacher and ask if can bring the next day,16,"[12.021765  15.580064   1.406945  14.327801   1.9143513  2.7878132
  1.5046442  3.7556226  5.246872   3.5468063]",11.953911,15.765628,1.7191693,14.402342,1.7794584,2.638457,1.3781549,3.8296,5.0768743,3.482353,"[11.953910827636719, 15.76562786102295, 1.71916925907135, 14.402341842651367, 1.7794584035873413, 2.6384570598602295, 1.3781548738479614, 3.8296000957489014, 5.076874256134033, 3.4823529720306396]",0.4869369068240878,21.369755,6.578285,Let the teacher know to see if can be turned in late otherwise call mom !
7,407,8,5,I would explain the situation to the teacher,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : explain the situation to the teacher,8,"[12.973617  15.599076   1.7487528 14.7548485  1.8526278  3.5168493
  2.6236207  4.153316   5.580006   3.88196  ]",12.950931,15.633713,1.7872953,14.761754,1.7741799,3.5005677,2.6385648,4.148818,5.568438,3.8100471,"[12.95093059539795, 15.633712768554688, 1.7872953414916992, 14.761754035949707, 1.7741799354553223, 3.500567674636841, 2.6385648250579834, 4.148818016052246, 5.5684380531311035, 3.810047149658203]",0.12335123808764657,19.102804,7.4789877,explain the situation to the teacher
8,408,9,5,"I would explain the situation to my teacher. Then I would ask the office to call my mom. Although, in this scenario I am an elementary school student so I may just cry.",decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : explain the situation to teacher . Then ask the office to call mom . Although , in this scenario am an elementary school student so may just cry .",0,"[12.355957  15.721684   1.8421919 14.553199   2.0070157  3.227839
  1.61052    4.146266   5.2696276  4.155134 ]",12.345731,15.763896,1.4310099,14.49612,2.0737045,2.836293,1.3883778,3.8339744,5.4176764,4.0886903,"[12.345730781555176, 15.763895988464355, 1.4310098886489868, 14.49612045288086, 2.073704481124878, 2.8362929821014404, 1.3883777856826782, 3.8339743614196777, 5.4176764488220215, 4.088690280914307]",0.7107581608156852,20.439812,6.687002,call mom at school and have talk to the teacher
9,409,10,5,I would tell the teacher what happened and just accept it. ,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : tell the teacher what happened and just accept .,6,"[12.397329  15.822129   2.14027   14.605093   2.368815   3.6273456
  1.1749792  4.45268    5.178711   5.14933  ]",12.4594345,15.87885,2.2163317,14.63377,2.36754,3.69807,1.2274095,4.4755836,5.138142,5.2304125,"[12.459434509277344, 15.878849983215332, 2.216331720352173, 14.633769989013672, 2.367539882659912, 3.6980700492858887, 1.2274094820022583, 4.475583553314209, 5.138142108917236, 5.230412483215332]",0.17372192405470044,19.889946,4.885713,Tell the teacher as soon as arrived .
