,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,500,1,6,Stop and make shelter,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : Stop and make shelter",5,"[5.9763107 6.0866075 6.129551  6.412975  2.6339169 2.5115633 5.119083
 7.657221  6.137748  5.0973024]",5.862158,6.163883,6.059091,6.716696,2.6809072,2.7976534,5.0088906,7.863997,5.89597,5.038127,"[5.862157821655273, 6.163883209228516, 6.059091091156006, 6.716695785522461, 2.6809072494506836, 2.7976534366607666, 5.008890628814697, 7.863996982574463, 5.895969867706299, 5.0381269454956055]",0.5631395056078781,6.915478,11.106964,try not to panic
1,501,2,6,I decide to stay put until the search team comes. I will do everything I can to stay warm and hydrated until then.,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : decide to stay put until the search team comes . will do everything can to stay warm and hydrated until then .",5,"[5.9763107 6.0866075 6.129551  6.412975  2.6339169 2.5115633 5.119083
 7.657221  6.137748  5.0973024]",6.2158475,5.9458427,6.08028,6.2188087,3.138385,2.4180727,5.0133796,7.880481,6.329655,5.015457,"[6.215847492218018, 5.945842742919922, 6.08027982711792, 6.218808650970459, 3.138385057449341, 2.4180727005004883, 5.0133795738220215, 7.880480766296387, 6.329655170440674, 5.0154571533203125]",0.6964873795824306,5.9788566,11.472322,try not to panic
2,502,3,6,Start a fire and build some shelter.,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : Start a fire and build some shelter .",1,"[4.143197   6.277863   7.285874   8.362455   0.97427094 2.903023
 4.3232355  8.517305   4.7583547  4.7060127 ]",4.5438194,6.3092217,6.990553,7.935368,1.3042856,2.8626368,4.558917,8.290366,5.0909147,4.763157,"[4.543819427490234, 6.3092217445373535, 6.99055290222168, 7.935368061065674, 1.3042856454849243, 2.8626368045806885, 4.558917045593262, 8.290366172790527, 5.090914726257324, 4.763156890869141]",0.8732406843086384,7.2851124,8.066192,look for something to start a fire with
3,503,4,6,wait it out,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : wait out",0,"[6.5869427 6.826388  5.6824846 6.2339735 3.318202  2.850606  5.155149
 7.6055646 5.455752  5.6755114]",6.8772388,5.9922247,5.773682,5.9160028,3.4857626,2.734249,5.542734,7.703426,5.4491105,5.583104,"[6.877238750457764, 5.99222469329834, 5.773682117462158, 5.9160027503967285, 3.485762596130371, 2.7342491149902344, 5.542734146118164, 7.703425884246826, 5.449110507965088, 5.583104133605957]",1.0485800771849192,5.808448,13.21283,try to explore more till get help sooner
4,504,5,6,"Ration the food and water, look for wild food and water sources, and huddle together in a small makeshift shelter to keep warm.",decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : Ration the food and water , look for wild food and water sources , and huddle together in a small makeshift shelter to keep warm .",2,"[5.3375287 6.2288427 5.918139  6.68503   1.8041338 3.1210525 5.3611097
 8.154911  5.3933024 5.031936 ]",5.4362845,6.0423098,6.281083,6.6531205,2.0505407,2.712819,5.266477,7.9254465,5.7108727,4.973368,"[5.43628454208374, 6.042309761047363, 6.281083106994629, 6.653120517730713, 2.0505406856536865, 2.7128190994262695, 5.266477108001709, 7.925446510314941, 5.710872650146484, 4.973368167877197]",0.7553510116724969,7.059151,10.24266,hide the food and water somewhere so that can eat and drink later
5,505,6,6,"I would try to find leaves and ground to cover myself in to stay warm and make signs for rescuers to follow with twigs, leaves and branches.",decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : try to find leaves and ground to cover in to stay warm and make signs for rescuers to follow with twigs , leaves and branches .",5,"[5.9763107 6.0866075 6.129551  6.412975  2.6339169 2.5115633 5.119083
 7.657221  6.137748  5.0973024]",5.6224523,6.3528304,6.0505486,6.810252,2.9416022,2.7954984,5.219126,7.820537,5.9520745,4.9493,"[5.622452259063721, 6.352830410003662, 6.050548553466797, 6.8102521896362305, 2.9416022300720215, 2.7954983711242676, 5.219126224517822, 7.820537090301514, 5.9520745277404785, 4.9492998123168945]",0.7927867003077599,6.85657,10.71599,try not to panic
6,506,7,6,Try to build a fire and light any flares we may have.,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : Try to build a fire and light any flares may have .",1,"[4.143197   6.277863   7.285874   8.362455   0.97427094 2.903023
 4.3232355  8.517305   4.7583547  4.7060127 ]",4.567433,6.3125653,7.0308557,7.930072,1.4173446,2.7983816,4.5790606,8.264591,5.092852,4.7996993,"[4.567432880401611, 6.312565326690674, 7.030855655670166, 7.930071830749512, 1.417344570159912, 2.7983815670013428, 4.5790605545043945, 8.264591217041016, 5.0928521156311035, 4.799699306488037]",0.943615809065984,7.133655,8.241249,look for something to start a fire with
7,507,8,6,find shelter to warm up to help conserve energy,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : find shelter to warm up to help conserve energy",5,"[5.9763107 6.0866075 6.129551  6.412975  2.6339169 2.5115633 5.119083
 7.657221  6.137748  5.0973024]",5.5784597,6.1520343,6.28492,6.9231052,2.3607135,2.7236788,5.075427,7.854307,5.8376365,4.9501996,"[5.578459739685059, 6.152034282684326, 6.2849202156066895, 6.923105239868164, 2.360713481903076, 2.7236788272857666, 5.075427055358887, 7.854307174682617, 5.837636470794678, 4.950199604034424]",0.8479544175344634,6.7563357,10.476859,try not to panic
8,508,9,6,I would create a signal fire.,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : create a signal fire .",1,"[4.143197   6.277863   7.285874   8.362455   0.97427094 2.903023
 4.3232355  8.517305   4.7583547  4.7060127 ]",4.072309,6.347278,7.597297,8.410844,1.0662736,2.8429182,4.2347584,9.043951,4.6503634,4.4753838,"[4.0723090171813965, 6.347278118133545, 7.597297191619873, 8.410843849182129, 1.06627357006073, 2.8429181575775146, 4.234758377075195, 9.043951034545898, 4.650363445281982, 4.475383758544922]",0.68649999489552,7.0124416,6.715228,look for something to start a fire with
9,509,10,6,I would decide to try and make a fire and make some smoke and try to get warm.,decision,,,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","and some friends are hiking through the mountains in the Canadian wilderness . A couple of days into hike , realizes that are lost . knows that a rescue crew arrive before long , but is extremely cold and don ’ t have much food or water left . : decide to try and make a fire and make some smoke and try to get warm .",1,"[4.143197   6.277863   7.285874   8.362455   0.97427094 2.903023
 4.3232355  8.517305   4.7583547  4.7060127 ]",4.3078403,6.284194,7.1766315,8.205202,1.1238663,2.8575435,4.3991685,8.39699,4.878235,4.7423954,"[4.307840347290039, 6.284193992614746, 7.176631450653076, 8.205202102661133, 1.123866319656372, 2.857543468475342, 4.399168491363525, 8.396989822387695, 4.87823486328125, 4.742395401000977]",0.352411364519071,7.302134,7.6882133,look for something to start a fire with
