,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,800,1,9,Call 911. They may be ill,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 . may be ill,16.015556,4.172945,11.741709,-3.4891484,-0.37736303,7.390323,8.628007,2.115254,19.942732,8.967961,"[16.01555633544922, 4.172945022583008, 11.741708755493164, -3.4891483783721924, -0.37736302614212036, 7.390323162078857, 8.628006935119629, 2.1152539253234863, 19.942731857299805, 8.967961311340332]",22.295412,-19.066528,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
1,801,2,9,I will call 911 and let them know of this driver.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : will call 911 and let know of this driver .,16.164331,4.1501966,11.832349,-3.3520122,-0.4028793,7.4629283,8.485559,2.1009192,19.823107,8.911505,"[16.164331436157227, 4.150196552276611, 11.832348823547363, -3.3520121574401855, -0.4028792977333069, 7.462928295135498, 8.485559463500977, 2.100919246673584, 19.82310676574707, 8.911504745483398]",22.188057,-18.742548,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
2,802,3,9,Call 911 and let them know.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 and let know .,16.102581,4.0972905,11.77858,-3.1888232,-0.38250074,7.552065,8.475249,1.9275509,19.496363,8.7774515,"[16.102581024169922, 4.097290515899658, 11.778579711914062, -3.1888232231140137, -0.3825007379055023, 7.552064895629883, 8.475249290466309, 1.9275509119033813, 19.496362686157227, 8.777451515197754]",22.13437,-18.300392,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
3,803,4,9,pull to a different road,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : pull to a different road,7.395972,2.1798697,8.515149,2.7041678,-1.3438883,9.868671,3.2258315,-3.507536,1.9227345,5.063051,"[7.395971775054932, 2.1798696517944336, 8.515149116516113, 2.7041678428649902, -1.343888282775879, 9.868671417236328, 3.2258315086364746, -3.507535934448242, 1.9227344989776611, 5.063051223754883]",10.701932,-0.8527711,-1,"[ 7.1774836  2.4309897  8.447146   2.8226333 -1.5255075  9.588735
  3.2985072 -3.1754546  1.8966846  5.3657928]",,pull to a different road
4,804,5,9,Keep my distance and turn away from them as soon as possible.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Keep distance and turn away from as soon as possible .,7.312031,2.3874066,8.420822,3.2595835,-1.8158463,10.190247,3.0595832,-2.9348931,1.3192334,4.9424567,"[7.312030792236328, 2.387406587600708, 8.420822143554688, 3.2595834732055664, -1.81584632396698, 10.19024658203125, 3.0595831871032715, -2.9348931312561035, 1.3192334175109863, 4.9424567222595215]",11.402024,0.19739473,-1,"[ 7.076108   2.3534718  8.642954   3.299375  -1.7307935 10.0702915
  3.0454483 -2.931871   1.4870217  5.120443 ]",,pull to a different road
5,805,6,9,Call 911 and stay far away from them.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 and stay far away from .,15.998853,4.0288925,11.790908,-3.1331522,-0.39440188,7.630651,8.4216585,1.8484092,19.489586,8.808241,"[15.998852729797363, 4.028892517089844, 11.790907859802246, -3.1331522464752197, -0.394401878118515, 7.630650997161865, 8.421658515930176, 1.8484091758728027, 19.489585876464844, 8.80824089050293]",22.045532,-18.36091,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
6,806,7,9,Call the police and report it.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call the police and report .,20.119047,2.6359494,10.89305,1.0613084,2.660217,5.2660394,7.108151,-2.3189075,5.7548723,3.5857525,"[20.119047164916992, 2.6359493732452393, 10.893050193786621, 1.0613083839416504, 2.660217046737671, 5.2660393714904785, 7.108150959014893, -2.3189074993133545, 5.7548723220825195, 3.585752487182617]",25.281427,-3.9733639,1,"[20.261078   2.598794  10.923578   1.1024457  2.7065222  5.2251387
  7.0228667 -2.3210592  5.7488832  3.468826 ]",,Call the police and report it.
7,807,8,9,honk at them a lot to see if they drive better,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : honk at a lot to see if drive better,8.376121,3.0518882,6.126171,0.15484625,0.019319171,5.631017,5.3983355,3.0444758,2.8237484,6.7657657,"[8.376120567321777, 3.0518882274627686, 6.126171112060547, 0.15484625101089478, 0.019319171085953712, 5.631017208099365, 5.3983354568481445, 3.044475793838501, 2.8237483501434326, 6.76576566696167]",10.331133,-6.0881567,2,"[ 8.356939    2.977686    6.1785955   0.16142964 -0.04533413  5.6681976
  5.3411303   3.0294843   2.8979483   6.78117   ]",,honk at them a lot to see if they drive better
8,808,9,9,I would call 911 and report the licene plate number and car make/model.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : call 911 and report the licene plate number and car make/model .,16.19226,4.154236,11.782852,-3.2677999,-0.33913934,7.491958,8.424553,2.0391328,19.598015,8.840487,"[16.1922607421875, 4.15423583984375, 11.782852172851562, -3.2677998542785645, -0.33913934230804443, 7.491958141326904, 8.424552917480469, 2.039132833480835, 19.59801483154297, 8.840486526489258]",22.374363,-18.282183,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
9,809,10,9,I would slow down and call the police and tell them about the driver.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : slow down and call the police and tell about the driver .,18.727798,2.9047258,10.44621,1.3068258,2.325542,6.041441,7.019705,-2.2966456,5.472678,3.8925867,"[18.727798461914062, 2.9047257900238037, 10.446209907531738, 1.3068257570266724, 2.3255419731140137, 6.041440963745117, 7.019704818725586, -2.2966456413269043, 5.472678184509277, 3.8925867080688477]",23.676455,-3.305154,3,"[18.864458   2.850768  10.44171    1.2804846  2.364293   6.010436
  6.9963894 -2.2783237  5.4157324  3.7952893]",,I would slow down and call the police and tell them about the driver.
10,810,11,9,call 911.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : call 911 .,15.967066,4.3417335,11.670553,-3.6821983,-0.3125476,7.2529917,8.578017,2.0452607,19.988276,8.978657,"[15.967065811157227, 4.341733455657959, 11.670553207397461, -3.6821982860565186, -0.31254759430885315, 7.252991676330566, 8.578017234802246, 2.0452606678009033, 19.9882755279541, 8.978656768798828]",22.439133,-19.142315,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
11,811,12,9,call 9-1-1 and give them the person's license plate number,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : call 9-1-1 and give the person 's license plate number,16.009832,4.2586293,11.687689,-3.5785542,-0.34312975,7.3443475,8.540841,2.1015081,19.99791,8.983931,"[16.00983238220215, 4.258629322052002, 11.687688827514648, -3.578554153442383, -0.3431297540664673, 7.3443474769592285, 8.540841102600098, 2.101508140563965, 19.997909545898438, 8.983930587768555]",22.298443,-19.103323,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
12,812,13,9,"Honk my horn, they may just be sleepy.",decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,"is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Honk horn , may just be sleepy .",8.255321,2.9299092,6.317615,0.23944126,-0.1534604,5.817904,5.3139796,3.0367544,3.0426955,6.834233,"[8.25532054901123, 2.9299092292785645, 6.317615032196045, 0.23944126069545746, -0.15346039831638336, 5.817903995513916, 5.313979625701904, 3.0367543697357178, 3.0426955223083496, 6.834232807159424]",10.070508,-6.5608816,2,"[ 8.356939    2.977686    6.1785955   0.16142964 -0.04533413  5.6681976
  5.3411303   3.0294843   2.8979483   6.78117   ]",,honk at them a lot to see if they drive better
13,813,14,9,call 911,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : call 911,16.003736,4.331566,11.699284,-3.7089553,-0.30678296,7.2474375,8.571558,2.0818515,20.009583,8.998138,"[16.00373649597168, 4.331565856933594, 11.699283599853516, -3.7089552879333496, -0.30678296089172363, 7.247437477111816, 8.571557998657227, 2.0818514823913574, 20.00958251953125, 8.998138427734375]",22.511234,-19.17003,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
14,814,15,9,Call 911 and keep following from a safe distance,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 and keep following from a safe distance,16.142004,4.1611576,11.890067,-3.4053977,-0.43058693,7.4407897,8.501825,1.9902847,19.807142,8.886372,"[16.142004013061523, 4.161157608032227, 11.890067100524902, -3.405397653579712, -0.43058693408966064, 7.440789699554443, 8.501825332641602, 1.9902846813201904, 19.80714225769043, 8.886371612548828]",22.115852,-18.907984,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
15,815,16,9,"I would honk and try to remember to license plate number. I would take another street to drive home, and call the police if I remember the license plate number by the time I get home.",decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,"is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : honk and try to remember to license plate number . take another street to drive home , and call the police if remember the license plate number by the time get home .",8.4851055,2.0745249,8.209886,2.3091807,-1.0156701,9.780574,4.0194893,-2.1400828,1.586566,5.074045,"[8.485105514526367, 2.0745248794555664, 8.209885597229004, 2.309180736541748, -1.0156700611114502, 9.780573844909668, 4.019489288330078, -2.140082836151123, 1.5865659713745117, 5.074045181274414]",12.487633,-1.6798842,4,"[ 8.188269   2.0537314  8.246278   2.3999772 -1.1567146  9.989298
  3.7737603 -2.4776897  1.5077963  5.0156054]",,"I would honk and try to remember to license plate number. I would take another street to drive home, and call the police if I remember the license plate number by the time I get home."
16,816,17,9,call police and give his license plate,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : call police and give license plate,21.021507,2.1939542,11.311774,1.1209437,3.041074,4.936177,6.6506042,-2.2368283,5.7244596,2.8267412,"[21.021507263183594, 2.1939542293548584, 11.311774253845215, 1.1209436655044556, 3.04107403755188, 4.936176776885986, 6.650604248046875, -2.236828327178955, 5.724459648132324, 2.8267412185668945]",26.571743,-5.34338,5,"[21.211884   2.09461   11.3744335  1.0330374  3.0444233  4.8462677
  6.575144  -2.2986546  5.774561   2.835786 ]",,call police and give his license plate
17,817,18,9,give the car plenty of space and call 911,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : give the car plenty of space and call 911,16.135626,4.152547,11.846527,-3.397303,-0.45108104,7.4688015,8.531323,2.0642772,19.86534,8.892162,"[16.1356258392334, 4.1525468826293945, 11.846527099609375, -3.3973031044006348, -0.4510810375213623, 7.468801498413086, 8.531323432922363, 2.064277172088623, 19.865339279174805, 8.892162322998047]",22.037882,-18.727182,0,"[16.029192    4.2744336  11.721711   -3.5383606  -0.33198965  7.342344
  8.536931    2.025972   19.858986    8.918123  ]",,Call 911. They may be ill
