Progress,Duration (in seconds),Finished,S1_1,S1_gen_4,S1_gen_5,S1_gen_6,S1_gen_7,S1_gen_8,S1_A1_7,S1_A1_8,S1_A1_9,S1_A2_7,S1_A2_8,S1_A2_9,S1_A3_7,S1_A3_8,S1_A3_9,S1_A4_7,S1_A4_8,S1_A4_9,S1_A5_7,S1_A5_8,S1_A5_9,S2_1,S2_gen_4,S2_gen_5,S2_gen_6,S2_gen_7,S2_gen_8,S2_A1_7,S2_A1_8,S2_A1_9,S2_A2_7,S2_A2_8,S2_A2_9,S2_A3_7,S2_A3_8,S2_A3_9,S2_A4_7,S2_A4_8,S2_A4_9,S2_A5_7,S2_A5_8,S2_A5_9,S3_1,S3_gen_4,S3_gen_5,S3_gen_6,S3_gen_7,S3_gen_8,S3_A1_7,S3_A1_8,S3_A1_9,S3_A2_7,S3_A2_8,S3_A2_9,S3_A3_7,S3_A3_8,S3_A3_9,S3_A4_7,S3_A4_8,S3_A4_9,S3_A5_7,S3_A5_8,S3_A5_9,S4_1,S4_gen_4,S4_gen_5,S4_gen_6,S4_gen_7,S4_gen_8,S4_A1_7,S4_A1_8,S4_A1_9,S4_A2_7,S4_A2_8,S4_A2_9,S4_A3_7,S4_A3_8,S4_A3_9,S4_A4_7,S4_A4_8,S4_A4_9,S4_A5_7,S4_A5_8,S4_A5_9,S5_1,S5_gen_4,S5_gen_5,S5_gen_6,S5_gen_7,S5_gen_8,S5_A1_7,S5_A1_8,S5_A1_9,S5_A2_7,S5_A2_8,S5_A2_9,S5_A3_7,S5_A3_8,S5_A3_9,S5_A4_7,S5_A4_8,S5_A4_9,S5_A5_7,S5_A5_8,S5_A5_9,S6_1,S6_gen_4,S6_gen_5,S6_gen_6,S6_gen_7,S6_gen_8,S6_A1_7,S6_A1_8,S6_A1_9,S6_A2_7,S6_A2_8,S6_A2_9,S6_A3_7,S6_A3_8,S6_A3_9,S6_A4_7,S6_A4_8,S6_A4_9,S6_A5_7,S6_A5_8,S6_A5_9,S7_1,S7_gen_4,S7_gen_5,S7_gen_6,S7_gen_7,S7_gen_8,S7_A1_7,S7_A1_8,S7_A1_9,S7_A2_7,S7_A2_8,S7_A2_9,S7_A3_7,S7_A3_8,S7_A3_9,S7_A4_7,S7_A4_8,S7_A4_9,S7_A5_7,S7_A5_8,S7_A5_9,S8_1,S8_gen_4,S8_gen_5,S8_gen_6,S8_gen_7,S8_gen_8,S8_A1_7,S8_A1_8,S8_A1_9,S8_A2_7,S8_A2_8,S8_A2_9,S8_A3_7,S8_A3_8,S8_A3_9,S8_A4_7,S8_A4_8,S8_A4_9,S8_A5_7,S8_A5_8,S8_A5_9,S9_1,S9_gen_4,S9_gen_5,S9_gen_6,S9_gen_7,S9_gen_8,S9_A1_7,S9_A1_8,S9_A1_9,S9_A2_7,S9_A2_8,S9_A2_9,S9_A3_7,S9_A3_8,S9_A3_9,S9_A4_7,S9_A4_8,S9_A4_9,S9_A5_7,S9_A5_8,S9_A5_9,S10_1,S10_gen_4,S10_gen_5,S10_gen_6,S10_gen_7,S10_gen_8,S10_A1_7,S10_A1_8,S10_A1_9,S10_A2_7,S10_A2_8,S10_A2_9,S10_A3_7,S10_A3_8,S10_A3_9,S10_A4_7,S10_A4_8,S10_A4_9,S10_A5_7,S10_A5_8,S10_A5_9,S11_1,S11_gen_4,S11_gen_5,S11_gen_6,S11_gen_7,S11_gen_8,S11_A1_7,S11_A1_8,S11_A1_9,S11_A2_7,S11_A2_8,S11_A2_9,S11_A3_7,S11_A3_8,S11_A3_9,S11_A4_7,S11_A4_8,S11_A4_9,S11_A5_7,S11_A5_8,S11_A5_9,S12_1,S12_gen_4,S12_gen_5,S12_gen_6,S12_gen_7,S12_gen_8,S12_A1_7,S12_A1_8,S12_A1_9,S12_A2_7,S12_A2_8,S12_A2_9,S12_A3_7,S12_A3_8,S12_A3_9,S12_A4_7,S12_A4_8,S12_A4_9,S12_A5_7,S12_A5_8,S12_A5_9,S13_1,S13_gen_4,S13_gen_5,S13_gen_6,S13_gen_7,S13_gen_8,S13_A1_7,S13_A1_8,S13_A1_9,S13_A2_7,S13_A2_8,S13_A2_9,S13_A3_7,S13_A3_8,S13_A3_9,S13_A4_7,S13_A4_8,S13_A4_9,S13_A5_7,S13_A5_8,S13_A5_9,S14_1,S14_gen_4,S14_gen_5,S14_gen_6,S14_gen_7,S14_gen_8,S14_A1_7,S14_A1_8,S14_A1_9,S14_A2_7,S14_A2_8,S14_A2_9,S14_A3_7,S14_A3_8,S14_A3_9,S14_A4_7,S14_A4_8,S14_A4_9,S14_A5_7,S14_A5_8,S14_A5_9,S15_1,S15_gen_4,S15_gen_5,S15_gen_6,S15_gen_7,S15_gen_8,S15_A1_7,S15_A1_8,S15_A1_9,S15_A2_7,S15_A2_8,S15_A2_9,S15_A3_7,S15_A3_8,S15_A3_9,S15_A4_7,S15_A4_8,S15_A4_9,S15_A5_7,S15_A5_8,S15_A5_9,S16_1,S16_gen_4,S16_gen_5,S16_gen_6,S16_gen_7,S16_gen_8,S16_A1_7,S16_A1_8,S16_A1_9,S16_A2_7,S16_A2_8,S16_A2_9,S16_A3_7,S16_A3_8,S16_A3_9,S16_A4_7,S16_A4_8,S16_A4_9,S16_A5_7,S16_A5_8,S16_A5_9,S17_1,S17_gen_4,S17_gen_5,S17_gen_6,S17_gen_7,S17_gen_8,S17_A1_7,S17_A1_8,S17_A1_9,S17_A2_7,S17_A2_8,S17_A2_9,S17_A3_7,S17_A3_8,S17_A3_9,S17_A4_7,S17_A4_8,S17_A4_9,S17_A5_7,S17_A5_8,S17_A5_9,S18_1,S18_gen_4,S18_gen_5,S18_gen_6,S18_gen_7,S18_gen_8,S18_A1_7,S18_A1_8,S18_A1_9,S18_A2_7,S18_A2_8,S18_A2_9,S18_A3_7,S18_A3_8,S18_A3_9,S18_A4_7,S18_A4_8,S18_A4_9,S18_A5_7,S18_A5_8,S18_A5_9,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,655,TRUE,80,Give up,Run away,Hide,Think,Wait,15,50,33,40,40,40,40,40,50,50,75,50,35,35,35,0,Run,Hide,Ask for Help,Think,Wait,70,70,70,20,20,20,40,40,40,50,50,50,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Run,Hide,Ask for Help,Wait,Think,30,30,30,25,25,25,45,45,45,30,30,30,75,75,75,0,Run,Hide,Ask for Help,Think,Wait,33,33,33,25,25,25,60,60,60,60,60,60,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Hide,Run,Wait,Think,Ask for Help,33,33,33,20,20,20,50,50,50,75,75,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Go on,Ignore,Run,Run her over,Scream,50,30,30,50,25,25,50,30,30,0,0,0,33,50,33,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 3,start a fundraiser,demand that the airline delays the flight,,,,,,,,refuse to drive her,light a fire under the car,,,,serve engine fuel to the passengers,,,carry her competitor on her sled
100,767,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Brian could cover the amount and if it happens again address it.,He could contact his managers.,Try and figure out if he dropped the money.,Watch the cameras.,Ask the employees if they have any idea.,100,40,20,50,100,100,100,100,100,100,100,100,20,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,go back and be late,buy another ticket,not go,explain to security ,scalp a ticket,30,100,100,100,100,100,1,51,89,20,100,100,61,30,43,0,tell the family,confront the teen,do nothing,take a video,call the police,100,100,100,82,71,71,0,0,30,29,24,40,61,100,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,leave the knife,try and explain,see if he could give it to a lawn shop for a a day,call a friend,take a uber,10,100,0,10,100,100,5,100,6,51,100,19,92,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Call his laywer.,Leave for court.,Call another employee.,Leave a note.,Call the courthouse.,100,100,100,20,100,100,30,100,100,9,100,12,20,100,100,0,help the person who crashed,call for help,go get help at the next checkpoint,see if there are more hurt,continue on without the dog,100,100,100,100,100,100,51,100,100,100,100,100,0,0,0,,31,Male,,,College Graduate (4 year),Rung 5,,,sell one of his kidneys,,,,pretend they are conjoined twins,read his mind,,,,take a train instead,,,,,call his lawyer,steal his dogs for extra speed
100,933,TRUE,,,,,,,,,,,,,,,,,,,,,,88,call a tow truck,get an uber,call a friend,cancel the trip,try to hitch hike,70,71,71,72,73,76,78,79,81,75,77,78,72,74,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Communicate with others about the dilemma,Come up with a plan to get unlost,"Stop moving, it's easier for rescue folks to find you",Develop a plan for food,Find shelter.,51,95,98,64,65,87,72,72,73,59,60,80,84,84,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Throw out the knife,Put in his bag and see if he can get through TSA,Stab someone,Apologize to TSA,Run around like a crazy man,55,56,57,90,61,61,4,0,0,59,60,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,9,Ask relatives,Work on projects on Mturk,Rob a bank,Sell some personal items,Sell services to others,60,33,53,20,87,91,0,0,0,59,,78,67,71,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,See if someone else could cover,Skip out and close the store,Call someone that knows the boss,Keep calling,Explain the situation to the lawyer ,13,74,78,32,13,3,62,92,92,76,80,87,64,88,93,5,GET HELP,finish the race,stomp on him,give him CPR,sing him a song,72,100,100,34,0,0,2,0,0,99,0,0,2,0,0,,33,Male,White / Caucasian,,Master's Degree (MS),Rung 8,,call a taxi,,,,boost morale with a three-legged race,,,,,,threaten security with the knife,,pitch his situation to a reality TV network,,,tell his lawyer that he’s sick,hide him in the snow
100,572,TRUE,30,Take out a loan,Get a new job,Borrow money from a friend,Borrow money from a family member,Gamble to make more money,55,27,46,65,36,59,26,56,45,57,38,26,22,60,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Distract himself,Run to build up body heat,Find berries to eat,Find a source of water,Talk with friends,56,37,52,58,39,47,26,39,43,57,40,58,39,49,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Call the police,Drive around them,Take another road,Honk at them,Stop them,66,42,59,64,48,48,56,40,62,59,47,61,49,39,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Explain what happened,Leave,Throw it away,Hide it,Break it,43,25,54,62,43,37,29,49,45,42,59,34,31,48,21,30,Tell the truth out loud,Make up an excuse,Improvise a speech,Distract everyone,Whisper to his sister what happened,55,32,48,59,38,56,42,59,44,43,29,63,39,58,47,54,Leave him with a friend,Leave him with a family member,Get another job,Ask someone for help,Make room in his apartment,39,24,63,33,26,39,63,33,54,46,39,64,45,38,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Male,White / Caucasian,,High School or equivalent,Rung 5,search for the medication on the black market,,,,,huddle to conserve energy,,,tailgate the car,,,store the knife in an airport locker,borrow their mom’s wedding ring,move into his father’s apartment,,,,
100,829,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,tell the manager,ask his coworkers to pitch in,take it out of his paycheck,make who ever was at the register pay,make everyone work overtime for it,50,49,61,41,79,56,100,49,66,9,49,9,1,100,51,40,pay for a new membership,go home and not play,ask the clerk if she can tell her friend about not being able to go in,wait for her friend outside,ask her friend to sneak her in with her pass,30,100,54,9,100,100,30,100,99,10,100,100,81,5,40,100,try to do the assignment again before its due,tell the teacher what happened,ask the teacher for an extension,call her mom and ask her to bring the hw,skip the class,50,100,31,60,100,100,40,61,75,100,100,100,30,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,tell the passengers the situation,have the passengers start fishing,spread out the remaining food,ask the passengers for advice,ask for air rescue,90,100,100,60,100,87,100,100,100,31,100,61,10,100,51,0,search for help leaving Todd,try to help Todd get out,search for water nearby,build shelter from the sun,scream for help,50,100,57,60,100,74,30,100,83,10,100,55,10,100,20,50,call his boss,reschedule the court date,close the store and leave a note,stay and miss the court date,leave the store open and unmanned,50,100,80,30,100,57,20,50,39,40,100,40,40,2,5,,,,,,,,,,,,,,,,,,,,,,,30,Female,Hispanic / Latino,,College Graduate (4 year),Rung 5,,,get an advance payday loan,lie that she left her card inside,call her mom,,,,,,,,,,throw disobedient passengers off the boat,get her arm stuck in solidarity,ask a friend to take over,
100,1410,TRUE,81,Sign up for prescription discount services.,Raise the money some way on her their own.,Ask for help from friends and family.,Start a go fund me page.,Ask church or other organizations for help.,100,100,100,62,100,100,41,100,100,54,83,76,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Call the police.,Try to wave down the driver.,Follow the driver.,Try to approach the driver at a stop.,Ignore and go about your day.,52,71,70,62,86,87,62,73,74,41,70,42,91,60,100,,,,,,,,,,,,,,,,,,,,,,51,Break a window on the car.,Try to break into the car.,Call a police officer.,Walk around the mall looking for the car owner.,Tell someone nearby to find the owner and then leave.,52,52,54,52,52,52,81,100,90,65,100,100,62,53,89,,,,,,,,,,,,,,,,,,,,,,0,Find a replacement ring and tell his sister later.,Tell the groom and let him decide what to do.,Try to track down the cab and delay the wedding.,Tell the couple you lost the ring but promise to pay for it.,Pay for a new ring and give a generous gift.,75,100,100,100,100,100,69,100,100,83,83,84,55,57,55,0,Move his father into his small apartment.,Ask family for help.,Find another job that could accommodate his father.,Enroll father in government programs that serve the elderly.,Start a go fund me.,70,100,100,100,100,100,60,100,100,100,100,100,41,100,100,,,,,,,,,,,,,,,,,,,,,,74,Hike to find help.,Cut off Todds' arm.,Try to signal for help.,Wait for someone to come by and ask for help.,Try to find something to loosen the friction between the arm and crevice.,100,100,100,8,10,11,6,100,65,23,10,35,34,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Male,Other,White/Asian,College Graduate (4 year),Rung 5,switch insurance plans,,,,,,,,take a detour at the next exit,,ask to use the mall's loudspeaker,,tell his sister as soon as possible,abandon his father,,hike until she finds cell service,,
100,1461,TRUE,100,She can borrow money from friends,She can borrow money from family,She can ask her employer for help,She can use her savings,She can apply for the insurance ,73,100,100,100,100,100,81,100,100,30,68,70,61,78,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,She can go back,She can play alone,She can play with someone else ,She can do something else,She can borrow phone ,41,63,62,0,0,0,28,66,67,34,72,75,100,100,100,82,She can tell the truth,She can tell that she forgot the homework.,She can lie ,She can skip the class.,She can go home and get it,0,100,100,72,100,100,100,0,0,72,85,84,31,86,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Eamon can ignore the other driver.,Eamon can honk horn to alert the driver. ,Eamon can pass over the driver. ,Eamon can call 911,Eamon can alert other drivers. ,10,0,0,100,100,100,61,50,50,100,100,100,59,71,,29,He can give her the ride,He can give her some money,He can ignore her,He can reject to help her,He can ask for more details ,63,80,80,62,82,78,85,50,50,100,23,22,61,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,He can tell the passengers truth.,He can ration the food. ,He can wait for boat to arrive ,He can do nothing,He can lie to passengers ,100,100,100,100,100,100,61,37,33,0,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,,,borrow someone's phone,lie that her house burnt down,,,,pull over and call 911,yell in gibberish until she leaves,,,,,ration their food,,,
100,1644,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Brian could track down the missing funds.,Brian could explain the situation to the other workers and have them pitch in to cover the loss.,Brian could steal the manager's wallet and use his cash.,Brian could cover the loss by himself.,Brian could quit and tell off the manager for his poor management skills.,40,45,38,50,30,23,1,2,2,82,95,78,20,73,64,0,Liz could borrow a phone to call her friend.,Liz could renew her membership when she arrives.,Liz could play racketball with her friend as a guest at the gym.,"Liz could inform her boss that she needed to take a break, and retrieve her phone.","Liz could not show up, then when she could call, she could claim illness.",98,96,95,75,95,95,70,90,91,40,70,70,10,10,13,,,,,,,,,,,,,,,,,,,,,,0,Brad could refrain from being an ass and divide the food equally.,Brad could cut back on his ration.,Brad could carefully build a signal fire and keep it under control.,Brad could use his scavenging skills to procure more food.,Brad could help build a shelter for himself and his friend.,80,100,100,50,98,90,80,98,98,30,97,97,50,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Eamon could pull off the road and call 911.,Eamon could flash his lights.,Eamon could call the police directly.,Eamon could carefully pass the car and put on his emergency flashers.,Eamon could turn around and go the other way.,90,90,90,25,90,75,90,90,90,20,50,20,70,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Carl could get out of line and mail his knife somewhere.,Carl could buy a new knife on arrival,"Carl could get out of line and check his luggage, not carry it on.",Carl could get out of line and call a friend for help.,Carl could get a later flight.,40,98,94,11,100,70,71,100,95,15,97,88,10,97,61,,,,,,,,,,,,,,,,,,,,,,70,Andy could research government programs designed to help the elderly.,"Andy could reevaluate his father's income from Social Security, including survivor benefits.",Andy could move into his father's home.,Andy could get married to his rich fiancee and solve the money issues that way.,Andy could ask for a raise.,93,96,97,99,100,100,60,92,88,95,80,72,93,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Male,White / Caucasian,,College Graduate (4 year),Rung 2,,,overcharge the next customers,pull the fire alarm,,steal all of the food and water,,,honk an angry message in Morse code,,,pretend the knife is part of a hip replacement,,get another job,,,,
100,751,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Renew membership ship,Leave and call friend and get to office,Leave and don’t all friend,Wait for friend,Use the gyms phone,78,84,73,58,38,58,9,11,10,84,89,79,24,68,48,78,Bring it next day,Make up an exuse, Call mom to bring it in,Don’t turn it in at all,Convince teacher to just give you a 100,82,83,79,71,48,74,88,88,87,21,16,17,23,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Smash windows,Check it unlocked ,Yell for help,Call police ,Ignore it,76,79,75,81,70,80,86,77,85,80,80,80,3,5,6,,,,,,,,,,,,,,,,,,,,,,93,Call the taxi company ,Tell the couple,Go to the store buy replacements ,Leave and don’t go back,Act surprised ,93,93,91,90,89,90,21,42,15,39,2,18,49,14,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,Lock the store and go to appointment ,Keep calling ,Wait it out,Cancel his appointment ,Call the place tell them he’s gonna be late,82,67,83,88,85,88,64,78,64,35,44,47,29,22,23,76,Go get help,Stay with him and comfort him,Pretend like you didn’t see him,Finish race and tell someone,Leave some ofdogs there,90,100,73,58,69,66,18,21,24,62,21,50,13,16,21,,28,Female,White / Caucasian,,Master's Degree (MS),Rung 5,,,,renew her membership,bring in the assignment the next day,,,,,,slash the tires,,call the taxi company,,,,lock up the store,leave her dogs with him
100,1653,TRUE,,,,,,,,,,,,,,,,,,,,,,0,He could call for help.,He could call the police.,He could flag someone driving to help him.,He could ask someone to help him fix his car.,He could try to fix his car.,90,100,100,50,100,100,80,100,100,80,100,100,20,100,100,0,He could steal money from it.,He could lie about what happened.,He could call the police.,He could hit someone nearby.,He could quit work that day.,0,0,0,0,1,1,50,50,50,1,1,1,1,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,He could call someone for help.,He could make a path to help with travel.,He could search for food.,He couldfind someone and steal from them.,He could sit and do nothing.,50,100,100,80,100,100,70,100,100,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,He could agree to the request. ,He could run away.,He could say no.,He could call the police. ,He could give her his car.,50,50,50,0,10,0,50,100,50,10,10,10,1,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,He could steal someone else's ring.,He could make a new ring.,He could buy a new ring.,He could hit someone nearby.,He could just fall asleep.,1,1,1,1,100,1,10,50,10,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,She could try to find someone to help them.,She could go to the police.,She could try to go somewhere to find service. ,She could stay with him.,She could steal something from him.,90,100,100,80,100,100,90,100,100,1,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Male,Black / African American,,Some College,Rung 1 (Bottom Rung),,steal a passing driver's car,pay the money from his own wallet,,,search for a water source,,,,turn invisible,,,blame it on the maid of honor,,,leave Todd to save herself,,
