,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,800,1,9,Call 911. They may be ill,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 . may be ill,2,"[17.092312   7.823404   9.704679  -6.7621865 -1.2605205  9.381422
  1.4758549  7.87303    1.1247683  6.745528 ]",17.092962,7.8211436,9.773234,-6.8050313,-1.2762713,9.467225,1.4697365,7.9057064,1.0708357,6.7857065,"[17.09296226501465, 7.821143627166748, 9.773234367370605, -6.8050312995910645, -1.2762713432312012, 9.467225074768066, 1.4697364568710327, 7.905706405639648, 1.0708357095718384, 6.785706520080566]",0.1406397689383014,26.234112,-10.832576,Call 911 . may be ill
1,801,2,9,I will call 911 and let them know of this driver.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : will call 911 and let know of this driver .,2,"[17.092312   7.823404   9.704679  -6.7621865 -1.2605205  9.381422
  1.4758549  7.87303    1.1247683  6.745528 ]",17.041874,7.8705287,9.73184,-6.6697984,-1.1922759,9.165339,1.5087736,7.7691884,1.102291,6.765884,"[17.041873931884766, 7.870528697967529, 9.731840133666992, -6.669798374176025, -1.192275881767273, 9.165339469909668, 1.5087735652923584, 7.769188404083252, 1.1022909879684448, 6.765883922576904]",0.27959506264250417,26.135874,-10.417189,Call 911 . may be ill
2,802,3,9,Call 911 and let them know.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 and let know .,2,"[17.092312   7.823404   9.704679  -6.7621865 -1.2605205  9.381422
  1.4758549  7.87303    1.1247683  6.745528 ]",17.096859,7.923281,9.569608,-6.5950794,-1.1479782,8.856801,1.5597945,7.67691,1.2269883,6.719668,"[17.096858978271484, 7.923281192779541, 9.569607734680176, -6.59507942199707, -1.1479781866073608, 8.85680103302002, 1.559794545173645, 7.676909923553467, 1.2269883155822754, 6.719667911529541]",0.6329966486255271,26.359293,-9.946971,Call 911 . may be ill
3,803,4,9,pull to a different road,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : pull to a different road,15,"[14.015566    1.8416286   3.4260314   4.9210396   1.8595667   0.21457696
 12.315545    3.4409783   6.2813005  11.025032  ]",14.429374,1.8161095,3.4837947,4.8524823,2.0316033,0.3009007,12.260297,3.1579425,6.425767,11.052472,"[14.429373741149902, 1.816109538078308, 3.483794689178467, 4.852482318878174, 2.0316033363342285, 0.3009006977081299, 12.260296821594238, 3.157942533493042, 6.425766944885254, 11.052472114562988]",0.5672374962197586,7.8233137,-2.571126,wait for a turn and take another road home
4,804,5,9,Keep my distance and turn away from them as soon as possible.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Keep distance and turn away from as soon as possible .,11,"[14.104674    1.9976183   3.674066    5.1123023   2.2384448  -0.14234674
 12.616403    3.4457238   5.766915   11.263641  ]",14.257848,1.9367788,3.8699245,4.9701767,2.2934592,-0.08772598,12.522546,3.5062437,5.650813,11.351804,"[14.257847785949707, 1.9367787837982178, 3.869924545288086, 4.970176696777344, 2.293459177017212, -0.08772598206996918, 12.52254581451416, 3.5062437057495117, 5.650813102722168, 11.35180377960205]",0.35420020348091635,7.839892,-1.6651456,Slow down and stay away from the car
5,805,6,9,Call 911 and stay far away from them.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call 911 and stay far away from .,2,"[17.092312   7.823404   9.704679  -6.7621865 -1.2605205  9.381422
  1.4758549  7.87303    1.1247683  6.745528 ]",17.142801,7.9556017,9.574048,-6.6377506,-1.137105,8.882245,1.5036218,7.7920585,1.2738482,6.806116,"[17.14280128479004, 7.955601692199707, 9.574048042297363, -6.637750625610352, -1.1371049880981445, 8.882245063781738, 1.5036218166351318, 7.79205846786499, 1.2738481760025024, 6.806116104125977]",0.5917822619122936,26.47021,-10.072714,Call 911 . may be ill
6,806,7,9,Call the police and report it.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : Call the police and report .,8,"[16.117302   7.9312224  9.735391  -3.0142817 -0.7142404  3.6596508
  2.912489   1.637502   5.460064   1.8037467]",16.16814,7.9504933,9.842516,-3.0806527,-0.6958865,3.7454486,2.9308348,1.7307698,5.558952,1.9549962,"[16.168140411376953, 7.950493335723877, 9.84251594543457, -3.0806527137756348, -0.695886492729187, 3.745448589324951, 2.9308347702026367, 1.7307697534561157, 5.5589518547058105, 1.9549962282180786]",0.2612004324604795,30.900185,3.3976598,call the police on cellphone to report the car .
7,807,8,9,honk at them a lot to see if they drive better,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : honk at a lot to see if drive better,3,"[12.4365425   2.8864834   3.8826127   1.4222542   0.393376   -0.40375018
  7.6960454   5.096267    4.5797157  11.334831  ]",12.433628,2.9245532,3.8754644,1.4619502,0.39893153,-0.37879777,7.7088966,5.00891,4.615385,11.331683,"[12.43362808227539, 2.924553155899048, 3.87546443939209, 1.4619501829147339, 0.3989315330982208, -0.3787977695465088, 7.708896636962891, 5.008910179138184, 4.615385055541992, 11.331683158874512]",0.11321118272918446,11.123875,-5.5335474,honk at a lot to see if drive better
8,808,9,9,I would call 911 and report the licene plate number and car make/model.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : call 911 and report the licene plate number and car make/model .,2,"[17.092312   7.823404   9.704679  -6.7621865 -1.2605205  9.381422
  1.4758549  7.87303    1.1247683  6.745528 ]",17.05558,7.869975,9.532867,-6.551967,-1.156305,8.961929,1.5817409,7.665772,1.2312393,6.7201653,"[17.055580139160156, 7.8699750900268555, 9.532867431640625, -6.551967144012451, -1.156304955482483, 8.961929321289062, 1.5817408561706543, 7.665771961212158, 1.2312393188476562, 6.720165252685547]",0.5746403571066337,26.24895,-10.100146,Call 911 . may be ill
9,809,10,9,I would slow down and call the police and tell them about the driver.,decision,,,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,is driving home on a two-lane road and thinks the driver ahead of is intoxicated . The car has been slowly drifting between the two lanes and is currently driving in the middle of road . : slow down and call the police and tell about the driver .,1,"[16.26334     8.108224    9.904226   -2.5883393  -0.39943415  3.6978698
  3.5777926   1.5607843   5.7174253   2.7514658 ]",16.23668,8.046962,9.964635,-2.5661767,-0.41527554,3.7566903,3.6377118,1.5357634,5.791064,2.9298654,"[16.236679077148438, 8.046961784362793, 9.964634895324707, -2.566176652908325, -0.41527554392814636, 3.756690263748169, 3.637711763381958, 1.5357633829116821, 5.7910637855529785, 2.9298653602600098]",0.23190603204176,29.785418,3.993239,call the police .
