,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,2884,209,15,ration food,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : ration food,5.380857,-0.4008353,10.560154,22.094797,-1.1854647,4.4169836,1.9732962,6.8487597,-6.943035,9.384029,"[5.380856990814209, -0.4008353054523468, 10.56015396118164, 22.094797134399414, -1.1854647397994995, 4.416983604431152, 1.9732961654663086, 6.848759651184082, -6.943035125732422, 9.384029388427734]",1.2501161,17.467152,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",1.073253950778387,Ration the food he has to keep everyone alive
1,2885,210,15,ration food,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : ration food,5.435163,-0.36102492,10.505819,22.040426,-1.0496701,4.4531946,2.0045776,6.928697,-6.8872795,9.296961,"[5.4351630210876465, -0.3610249161720276, 10.505819320678711, 22.04042625427246, -1.0496701002120972, 4.453194618225098, 2.00457763671875, 6.928697109222412, -6.887279510498047, 9.296960830688477]",1.2894055,17.520214,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",0.955503855149436,Ration the food he has to keep everyone alive
2,2886,211,15,Ration out food,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Ration out food,5.4158497,-0.6999466,10.042122,21.851513,-1.2674879,4.378259,1.1543089,6.326142,-7.325216,8.837173,"[5.415849685668945, -0.6999465823173523, 10.042121887207031, 21.851512908935547, -1.26748788356781, 4.378259181976318, 1.1543089151382446, 6.326141834259033, -7.325215816497803, 8.837173461914062]",2.6413045,18.085726,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",1.2004999378319294,Ration the food he has to keep everyone alive
3,2887,213,15,He could ration the food amongst the passengers,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : ration the food amongst the passengers,5.4780293,-0.6502903,9.939121,21.821112,-1.2543746,4.346773,1.201104,6.2937346,-7.241152,8.852386,"[5.478029251098633, -0.650290310382843, 9.93912124633789, 21.82111167907715, -1.254374623298645, 4.346773147583008, 1.2011040449142456, 6.293734550476074, -7.241151809692383, 8.852386474609375]",2.8220618,18.031124,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",1.1664789742198072,Ration the food he has to keep everyone alive
4,2888,216,15,Ration the food,pg,1.0,97.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Ration the food,5.4477496,-0.7700657,10.039924,21.813334,-1.3471915,4.446342,1.1988117,6.3537188,-7.2624555,8.879248,"[5.447749614715576, -0.7700657248497009, 10.039923667907715, 21.81333351135254, -1.3471914529800415, 4.4463419914245605, 1.198811650276184, 6.3537187576293945, -7.262455463409424, 8.879247665405273]",2.7519271,18.161299,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",1.1741901790739597,Ration the food he has to keep everyone alive
5,2889,217,15,Instruct the crew to ration the food evenly and carefully.,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Instruct the crew to ration the food evenly and carefully .,5.6064444,-0.6868473,10.532284,21.812923,-0.86861205,4.3791847,1.4616393,6.6741924,-7.2544794,8.952542,"[5.606444358825684, -0.6868473291397095, 10.532283782958984, 21.812923431396484, -0.8686120510101318, 4.379184722900391, 1.4616392850875854, 6.674192428588867, -7.25447940826416, 8.952542304992676]",2.1461384,17.580446,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",0.6631632343662294,Ration the food he has to keep everyone alive
6,2890,220,15,Instruct them to begin perserving food.,pg,1.0,98.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Instruct to begin perserving food .,5.709776,-0.6868786,10.575245,21.936087,-0.7440218,4.428239,1.601297,6.8674874,-7.2062883,9.055194,"[5.709775924682617, -0.6868786215782166, 10.575244903564453, 21.936086654663086, -0.7440217733383179, 4.428238868713379, 1.6012970209121704, 6.86748743057251, -7.2062883377075195, 9.055193901062012]",1.9111344,17.340796,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",0.5382868027462054,Ration the food he has to keep everyone alive
7,2891,221,15,ration the food,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : ration the food,5.424923,-0.7027484,9.975612,21.840517,-1.2776272,4.404606,1.166037,6.3229413,-7.273942,8.842283,"[5.424922943115234, -0.7027484178543091, 9.975611686706543, 21.840517044067383, -1.2776272296905518, 4.404605865478516, 1.1660369634628296, 6.322941303253174, -7.273941993713379, 8.842283248901367]",2.6559215,18.027338,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",1.19726900733714,Ration the food he has to keep everyone alive
8,2892,226,15,Ration food. ,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Ration food .,5.431911,-0.47170514,10.50085,22.019875,-1.1053174,4.45583,1.9661124,6.8158584,-6.8854,9.281091,"[5.431910991668701, -0.4717051386833191, 10.500849723815918, 22.019874572753906, -1.1053173542022705, 4.455830097198486, 1.9661123752593994, 6.815858364105225, -6.88539981842041, 9.28109073638916]",1.3467733,17.58053,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",0.9307620093693989,Ration the food he has to keep everyone alive
9,2893,227,15,Ration food,pg,1.0,100.0,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,is the captain of a 50-passenger cruise ship . Four days into trip get caught in a storm and the engine breaks under the pressure . are now stranded at sea . A rescue boat is on way but might not arrive for a week . food supplies are quickly dwindling and isn ’ t sure what to instruct the passengers and crew . : Ration food,5.438615,-0.41598925,10.470327,22.046131,-1.1096916,4.4775023,1.9824078,6.93527,-6.9161253,9.353679,"[5.438614845275879, -0.4159892499446869, 10.470327377319336, 22.046131134033203, -1.1096916198730469, 4.477502346038818, 1.982407808303833, 6.935269832611084, -6.916125297546387, 9.353678703308105]",1.3251066,17.601835,1,"[ 5.9440956  -0.7234739  10.229223   21.729992   -0.73114777  4.329966
  1.6297115   7.0015106  -7.0018897   9.024697  ]",0.9578945896738694,Ration the food he has to keep everyone alive
