,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,2748,209,13,call the taxi company,pg,1.0,71.6666666666667,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : call the taxi company",9.657236,10.458158,18.322502,16.104609,6.769155,1.7739152,2.8403616,0.17539525,0.057808645,3.3921769,"[9.657236099243164, 10.458157539367676, 18.32250213623047, 16.1046085357666, 6.769155025482178, 1.77391517162323, 2.8403615951538086, 0.17539525032043457, 0.05780864506959915, 3.392176866531372]",-14.3619175,21.324245,0,"[ 9.6513853e+00  1.0562329e+01  1.8281849e+01  1.6120056e+01
  6.6735005e+00  1.6820825e+00  2.7908154e+00  1.8136430e-01
 -8.4782839e-03  3.3849974e+00]",,call the taxi company
1,2749,211,13,Call the taxi,pg,1.0,100.0,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : Call the taxi",9.101405,10.347294,17.094563,15.945793,6.78865,1.0078065,3.057009,0.54895175,-1.1809397,3.3605163,"[9.101405143737793, 10.347293853759766, 17.094562530517578, 15.945793151855469, 6.788650035858154, 1.0078065395355225, 3.057008981704712, 0.5489517450332642, -1.1809396743774414, 3.360516309738159]",-12.451046,22.860228,1,"[ 8.816624   10.567524   17.489813   16.09396     6.6976495   1.1641123
  3.1503558   0.53085995 -0.9471566   3.5816643 ]",,Call the taxi
2,2750,213,13,He could call the taxi company,pg,1.0,100.0,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : call the taxi company",9.672715,10.543739,18.389482,16.144093,6.6443,1.7071134,2.8077023,0.10548831,0.08005753,3.3914273,"[9.672715187072754, 10.543739318847656, 18.389482498168945, 16.144092559814453, 6.6442999839782715, 1.7071133852005005, 2.8077023029327393, 0.10548830777406693, 0.0800575315952301, 3.3914272785186768]",-14.334247,21.429861,0,"[ 9.6513853e+00  1.0562329e+01  1.8281849e+01  1.6120056e+01
  6.6735005e+00  1.6820825e+00  2.7908154e+00  1.8136430e-01
 -8.4782839e-03  3.3849974e+00]",,call the taxi company
3,2751,215,13,call the taxi company,pg,1.0,93.6666666666667,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : call the taxi company",9.702351,10.469197,18.263485,16.153503,6.6609554,1.6025813,2.835879,0.23540892,0.044955358,3.4321575,"[9.702350616455078, 10.469197273254395, 18.263484954833984, 16.15350341796875, 6.660955429077148, 1.602581262588501, 2.83587908744812, 0.23540891706943512, 0.044955357909202576, 3.432157516479492]",-14.356248,21.30283,0,"[ 9.6513853e+00  1.0562329e+01  1.8281849e+01  1.6120056e+01
  6.6735005e+00  1.6820825e+00  2.7908154e+00  1.8136430e-01
 -8.4782839e-03  3.3849974e+00]",,call the taxi company
4,2752,217,13,Call the Taxi company to see if the ring has been turned in.,pg,1.0,93.3333333333333,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : Call the Taxi company to see if the ring has been turned in .",8.74504,10.730902,17.860449,16.173264,6.654545,1.3506422,3.0816247,0.40407795,-0.7414896,3.6902528,"[8.745039939880371, 10.730901718139648, 17.860448837280273, 16.173263549804688, 6.654544830322266, 1.350642204284668, 3.081624746322632, 0.40407794713974, -0.741489589214325, 3.6902527809143066]",-13.790568,23.22819,1,"[ 8.816624   10.567524   17.489813   16.09396     6.6976495   1.1641123
  3.1503558   0.53085995 -0.9471566   3.5816643 ]",,Call the taxi
5,2753,220,13,Get in touch with the taxi company,pg,1.0,100.0,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : Get in touch with the taxi company",9.637364,10.650215,18.403688,16.18814,6.714871,1.7487473,2.6656842,0.15409978,0.06049301,3.4631877,"[9.637364387512207, 10.650215148925781, 18.403688430786133, 16.188140869140625, 6.714870929718018, 1.7487473487854004, 2.665684223175049, 0.15409977734088898, 0.06049301102757454, 3.4631876945495605]",-14.61138,21.30905,0,"[ 9.6513853e+00  1.0562329e+01  1.8281849e+01  1.6120056e+01
  6.6735005e+00  1.6820825e+00  2.7908154e+00  1.8136430e-01
 -8.4782839e-03  3.3849974e+00]",,call the taxi company
6,2754,221,13,call the taxi to find the ring,pg,1.0,100.0,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : call the taxi to find the ring",8.89739,10.667756,17.450071,16.494066,6.6551237,1.1815203,3.2146375,0.5457083,-0.82759917,3.89294,"[8.897390365600586, 10.667756080627441, 17.450071334838867, 16.49406623840332, 6.655123710632324, 1.1815203428268433, 3.214637517929077, 0.5457082986831665, -0.8275991678237915, 3.892940044403076]",-13.432315,23.722887,1,"[ 8.816624   10.567524   17.489813   16.09396     6.6976495   1.1641123
  3.1503558   0.53085995 -0.9471566   3.5816643 ]",,Call the taxi
7,2755,225,13,call the taxi cab,pg,1.0,99.6666666666667,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : call the taxi cab",9.088123,10.265214,16.990808,15.922007,6.7366176,0.98569757,3.2055154,0.64369166,-1.2236135,3.3119955,"[9.088123321533203, 10.265213966369629, 16.990808486938477, 15.922006607055664, 6.736617565155029, 0.9856975674629211, 3.2055153846740723, 0.6436916589736938, -1.2236135005950928, 3.311995506286621]",-12.331729,22.997707,1,"[ 8.816624   10.567524   17.489813   16.09396     6.6976495   1.1641123
  3.1503558   0.53085995 -0.9471566   3.5816643 ]",,Call the taxi
8,2756,230,13,Daniel could call the taxi company and see if they can help him locate the ring.,pg,1.0,100.0,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : call the taxi company and see if can help locate the ring .",8.711473,10.740752,17.682661,16.383125,6.6268673,1.2684245,3.210615,0.49600017,-0.7913338,3.864061,"[8.71147346496582, 10.740752220153809, 17.682661056518555, 16.38312530517578, 6.626867294311523, 1.2684245109558105, 3.2106149196624756, 0.49600017070770264, -0.791333794593811, 3.864061117172241]",-13.752486,23.483622,1,"[ 8.816624   10.567524   17.489813   16.09396     6.6976495   1.1641123
  3.1503558   0.53085995 -0.9471566   3.5816643 ]",,Call the taxi
9,2757,232,13,He can call the taxi company,pg,1.0,100.0,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","is the ring bearer at sister ’ s wedding . 10 minutes into the ceremony , reaches into pocket but the ring isn ’ t there . realizes left on the seat next to in the taxi . : can call the taxi company",9.835087,10.556778,18.413431,16.135708,6.6343417,1.7584163,2.7465549,0.10184992,0.14247102,3.3114147,"[9.835086822509766, 10.556777954101562, 18.41343116760254, 16.13570785522461, 6.634341716766357, 1.7584162950515747, 2.7465548515319824, 0.10184992104768753, 0.14247101545333862, 3.3114147186279297]",-14.650442,21.431093,0,"[ 9.6513853e+00  1.0562329e+01  1.8281849e+01  1.6120056e+01
  6.6735005e+00  1.6820825e+00  2.7908154e+00  1.8136430e-01
 -8.4782839e-03  3.3849974e+00]",,call the taxi company
