Progress,Duration (in seconds),Finished,ResponseId,S1-FR_4,S1-FR_5,S1-FR_6,S1-FR_7,S1-FR_8,S1FRtime_First Click,S1FRtime_Last Click,S1FRtime_Page Submit,S1FRtime_Click Count,S1A1_4,S1A1_5,S1A1_6,S1A2_4,S1A2_5,S1A2_6,S1A3_4,S1A3_5,S1A3_6,S1A4_4,S1A4_5,S1A4_6,S1A5_4,S1A5_5,S1A5_6,S2-FR_4,S2-FR_5,S2-FR_6,S2-FR_7,S2-FR_8,S2FRtime_First Click,S2FRtime_Last Click,S2FRtime_Page Submit,S2FRtime_Click Count,S2A1_4,S2A1_5,S2A1_6,S2A2_4,S2A2_5,S2A2_6,S2A3_4,S2A3_5,S2A3_6,S2A4_4,S2A4_5,S2A4_6,S2A5_4,S2A5_5,S2A5_6,S3-FR_4,S3-FR_5,S3-FR_6,S3-FR_7,S3-FR_8,S3FRtime_First Click,S3FRtime_Last Click,S3FRtime_Page Submit,S3FRtime_Click Count,S3A1_4,S3A1_5,S3A1_6,S3A2_4,S3A2_5,S3A2_6,S3A3_4,S3A3_5,S3A3_6,S3A4_4,S3A4_5,S3A4_6,S3A5_4,S3A5_5,S3A5_6,S4-FR_4,S4-FR_5,S4-FR_6,S4-FR_7,S4-FR_8,S4FRtime_First Click,S4FRtime_Last Click,S4FRtime_Page Submit,S4FRtime_Click Count,S4A1_4,S4A1_5,S4A1_6,S4A2_4,S4A2_5,S4A2_6,S4A3_4,S4A3_5,S4A3_6,S4A4_4,S4A4_5,S4A4_6,S4A5_4,S4A5_5,S4A5_6,S5-FR_4,S5-FR_5,S5-FR_6,S5-FR_7,S5-FR_8,S5FRtime_First Click,S5FRtime_Last Click,S5FRtime_Page Submit,S5FRtime_Click Count,S5A1_4,S5A1_5,S5A1_6,S5A2_4,S5A2_5,S5A2_6,S5A3_4,S5A3_5,S5A3_6,S5A4_4,S5A4_5,S5A4_6,S5A5_4,S5A5_5,S5A5_6,S6-FR_4,S6-FR_5,S6-FR_6,S6-FR_7,S6-FR_8,S6FRtime_First Click,S6FRtime_Last Click,S6FRtime_Page Submit,S6FRtime_Click Count,S6A1_4,S6A1_5,S6A1_6,S6A2_4,S6A2_5,S6A2_6,S6A3_4,S6A3_5,S6A3_6,S6A4_4,S6A4_5,S6A4_6,S6A5_4,S6A5_5,S6A5_6,S7-FR_4,S7-FR_5,S7-FR_6,S7-FR_7,S7-FR_8,S7FRtime_First Click,S7FRtime_Last Click,S7FRtime_Page Submit,S7FRtime_Click Count,S7A1_7,S7A1_8,S7A1_9,S7A2_7,S7A2_8,S7A2_9,S7A3_7,S7A3_8,S7A3_9,S7A4_7,S7A4_8,S7A4_9,S7A5_7,S7A5_8,S7A5_9,S8-FR_4,S8-FR_5,S8-FR_6,S8-FR_7,S8-FR_8,S8FRtime_First Click,S8FRtime_Last Click,S8FRtime_Page Submit,S8FRtime_Click Count,S8A1_4,S8A1_5,S8A1_6,S8A2_4,S8A2_5,S8A2_6,S8A3_4,S8A3_5,S8A3_6,S8A4_4,S8A4_5,S8A4_6,S8A5_4,S8A5_5,S8A5_6,S9-FR_4,S9-FR_5,S9-FR_6,S9-FR_7,S9-FR_8,S9FRtime_First Click,S9FRtime_Last Click,S9FRtime_Page Submit,S9FRtime_Click Count,S9A1_4,S9A1_5,S9A1_6,S9A2_4,S9A2_5,S9A2_6,S9A3_4,S9A3_5,S9A3_6,S9A4_4,S9A4_5,S9A4_6,S9A5_4,S9A5_5,S9A5_6,S10-FR_4,S10-FR_5,S10-FR_6,S10-FR_7,S10-FR_8,S10FRtime_First Click,S10FRtime_Last Click,S10FRtime_Page Submit,S10FRtime_Click Count,S10A1_4,S10A1_5,S10A1_6,S10A2_4,S10A2_5,S10A2_6,S10A3_4,S10A3_5,S10A3_6,S10A4_4,S10A4_5,S10A4_6,S10A5_4,S10A5_5,S10A5_6,S11-FR_4,S11-FR_5,S11-FR_6,S11-FR_7,S11-FR_8,S11FRtime_First Click,S11FRtime_Last Click,S11FRtime_Page Submit,S11FRtime_Click Count,S11A1_4,S11A1_5,S11A1_6,S11A2_4,S11A2_5,S11A2_6,S11A3_4,S11A3_5,S11A3_6,S11A4_4,S11A4_5,S11A4_6,S11A5_4,S11A5_5,S11A5_6,S12-FR_4,S12-FR_5,S12-FR_6,S12-FR_7,S12-FR_8,S12FRtime_First Click,S12FRtime_Last Click,S12FRtime_Page Submit,S12FRtime_Click Count,S12A1_4,S12A1_5,S12A1_6,S12A2_4,S12A2_5,S12A2_6,S12A3_4,S12A3_5,S12A3_6,S12A4_4,S12A4_5,S12A4_6,S12A5_4,S12A5_5,S12A5_6,S13-FR_4,S13-FR_5,S13-FR_6,S13-FR_7,S13-FR_8,S13FRTime_First Click,S13FRTime_Last Click,S13FRTime_Page Submit,S13FRTime_Click Count,S13A1_7,S13A1_8,S13A1_9,S13A2_7,S13A2_8,S13A2_9,S13A3_7,S13A3_8,S13A3_9,S13A4_7,S13A4_8,S13A4_9,S13A5_7,S13A5_8,S13A5_9,S14-FR_4,S14-FR_5,S14-FR_6,S14-FR_7,S14-FR_8,S14FRTime_First Click,S14FRTime_Last Click,S14FRTime_Page Submit,S14FRTime_Click Count,S14A1_4,S14A1_5,S14A1_6,S14A2_4,S14A2_5,S14A2_6,S14A3_4,S14A3_5,S14A3_6,S14A4_4,S14A4_5,S14A4_6,S14A5_4,S14A5_5,S14A5_6,S15-FR_4,S15-FR_5,S15-FR_6,S15-FR_7,S15-FR_8,S15FRTime_First Click,S15FRTime_Last Click,S15FRTime_Page Submit,S15FRTime_Click Count,S15A1_4,S15A1_5,S15A1_6,S15A2_4,S15A2_5,S15A2_6,S15A3_4,S15A3_5,S15A3_6,S15A4_4,S15A4_5,S15A4_6,S15A5_4,S15A5_5,S15A5_6,S16-FR_4,S16-FR_5,S16-FR_6,S16-FR_7,S16-FR_8,S16FRTime_First Click,S16FRTime_Last Click,S16FRTime_Page Submit,S16FRTime_Click Count,S16A1_4,S16A1_5,S16A1_6,S16A2_4,S16A2_5,S16A2_6,S16A3_4,S16A3_5,S16A3_6,S16A4_4,S16A4_5,S16A4_6,S16A5_4,S16A5_5,S16A5_6,S17-FR_4,S17-FR_5,S17-FR_6,S17-FR_7,S17-FR_8,S17FRTime_First Click,S17FRTime_Last Click,S17FRTime_Page Submit,S17FRTime_Click Count,S17A1_4,S17A1_5,S17A1_6,S17A2_4,S17A2_5,S17A2_6,S17A3_4,S17A3_5,S17A3_6,S17A4_4,S17A4_5,S17A4_6,S17A5_4,S17A5_5,S17A5_6,S18-FR_4,S18-FR_5,S18-FR_6,S18-FR_7,S18-FR_8,S18FRTime_First Click,S18FRTime_Last Click,S18FRTime_Page Submit,S18FRTime_Click Count,S18A1_4,S18A1_5,S18A1_6,S18A2_4,S18A2_5,S18A2_6,S18A3_4,S18A3_5,S18A3_6,S18A4_4,S18A4_5,S18A4_6,S18A5_4,S18A5_5,S18A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses
100,596,TRUE,R_1dzvCuNDNtTImEc,steal it,gofundme,ask for money,take out loan,cry,5.496,5.496,37.347,1,6,24,13,89,89,94,89,79,88,35,75,76,78,70,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give her ticket to Ted,find the receipt for ticket in Ted's email,leave Ted to miss the concert,call someone to get his ticket,sneak Ted into concert,0.667,85.821,86.18,7,35,87,49,88,96,95,24,5,15,40,62,42,17,66,32,tell the family,fight the teen,ignore it,leave the beach,buy some ice cream,0.697,0.902,51.811,2,90,100,93,24,30,12,34,8,39,7,15,8,7,8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hide the knife,put the knife in the trash,bring the knife home,show the knife to security,hide the knife in someone else's bag,0.982,1.303,73.709,2,18,6,12,25,47,15,31,61,76,24,62,8,13,3,3,,,,,,,,,,,,,,,,,,,,,,,,,cry,pay for care of father,invite father to live with him,ignore his father,send to nursing home.,1.628,1.628,58.689,1,92,100,92,40,59,65,21,47,65,11,4,57,55,37,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave at 7,call boss,call someone else to workk,leave early,close store,0.703,52.532,53.985,5,87,91,91,86,100,96,52,68,72,25,30,18,11,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,22,Female,White / Caucasian,,College Graduate (4 year),Rung 5
100,471,TRUE,R_3I4zrgFjhLMdIKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ask the front desk to page her friend,Ask the front desk to leave a note for her friend,Go find a computer and email her friend,wait for her friend outside,just go back to the office,7.332,37.598,37.912,2,81,82,82,80,81,81,20,89,58,78,79,78,61,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignore the dog,break the window,go ask the mall to page owner of the car,mind her business,wait around,2.931,2.931,45.573,1,62,100,100,11,4,9,60,100,56,60,100,100,31,100,29,Throw The knife away,hide the knife in a plant and get it later,try to smuggle the knife through,give the knife away,tell security about the knife,5.491,5.491,41.636,1,11,100,35,30,100,10,30,2,7,9,100,10,18,100,30,,,,,,,,,,,,,,,,,,,,,,,,,Give his mom money,let his mom live with him,buy his mom a house,cut his mom off,abandon his mom,1.366,1.366,23.081,1,86,100,78,55,100,99,71,100,73,62,2,14,23,2,1,Tell them to remain calm,Ration out food ,Hoard food,Induce panic,Lie,8.929,8.929,42.244,1,60,59,60,89,91,89,21,2,45,8,1,3,19,1,1,cut off his finger,run for help,keep trying the phone,go look for water,just stay there and die,6.597,10.948,38.279,3,9,11,10,41,82,71,92,100,100,23,83,75,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Female,White / Caucasian,,Some College,Rung 3
100,755,TRUE,R_2WD1yRUhkwoHfW9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wait until the friend shows up,use the gym phone to call,pay her dues,apologize and try to correct the mistake,try to borrow another gym patron's phone to call the friend,10.285,10.285,58.915,1,100,97,99,100,100,100,100,100,100,94,95,93,89,96,96,skip class,explain to the teacher,ask for an extension,take the bad grade,hurry to try to duplicate the assignment before class,10.305,10.305,54.446,1,64,75,75,99,99,99,97,97,99,48,86,72,83,95,95,head to the closest town,tell the team they are lost,see if another team member knows the way,apologize for being lost,try to plan a quick route to safety,8.789,8.789,61.803,1,99,99,98,99,99,99,87,99,99,90,96,94,94,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,try to locate the owner,try to open the door,call the police,can animal control,break the car window,5.77,5.77,56.193,1,100,100,100,87,96,97,78,96,96,91,95,95,70,81,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,go for help,try to put something to shade her friend,yell for help,shade herself and her friend until the sun goes down,cry,35.506,35.506,105.413,1,94,100,100,85,98,99,99,100,99,88,98,99,76,84,94,,,,,,,,,,,,,,,,,,,,,,,,,keep going on the race,mind her business,stop to see if he's ok,wave,don't say anything,9.464,36.459,77.759,2,94,94,94,98,98,98,99,96,98,84,97,99,73,92,94,,51,Female,White / Caucasian,,Some College,Rung 6
100,826,TRUE,R_1LYl5EP6iNHWlUf,,,,,,,,,,,,,,,,,,,,,,,,,call a tow truck,abandon the car and hitch a ride to airport,call the airline and explain the situation,phone his wife to pick him up,panic and cancel his vacation,0,0,91.786,0,89,97,100,33,43,10,31,92,50,44,65,75,61,52,74,put $500 of his own money into the register,tell the manager the truth,act dumb and say it wasnt his fault,lie and say someone took it when he was in the back room,start a fire that burns the register,0,0,114.835,0,39,100,44,88,100,93,60,57,63,42,15,48,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start honking,do nothing,call the police about DUI,call chuck,try to cause the car to veer off the road,1.3,1.3,63.761,1,69,90,58,80,17,65,92,100,83,56,74,95,8,18,1,lie and say he's headed the other way,give her a ride,ask for money to cover the gas for the ride,ignore her and pretend he never knew her,tell her he is in too much of a hurry to take her,0,0,111.19,0,34,11,47,94,100,94,45,50,69,18,4,2,65,52,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tell the truth,call the cab company,start yelling and create a distraction,ask the guests for advice,stop the wedding,0.951,0.951,68.82,1,97,100,94,80,100,89,12,1,8,13,49,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,start rationing food and water,no showers,abandon ship,have crew instruct passengers to stay calm,put on more entertainment,20.281,20.281,84.738,1,95,100,93,98,99,98,1,0,1,75,85,78,72,78,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Male,White / Caucasian,,College Graduate (4 year),Rung 6
100,1079,TRUE,R_Rm32K0M1qWcPQQN,,,,,,,,,,,,,,,,,,,,,,,,,Hope a car passes,Start walking ,Create a fire hoping to it'll be seen,Try to fix the car himself ,Wait till he is found ,1.572,112.1,163.932,11,100,100,100,90,100,100,50,100,94,100,100,100,80,100,100,Replace the lost money with his,Tell his manager the truth ,Say they got robbed ,Blame a co-worker for the mistake,Say a co-worker stole it,21.46,84.484,90.013,9,50,60,60,70,100,100,10,5,5,40,0,5,30,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Try to call someone,Start a fire to signal for help ,Continue walking towards the town,Backtrack and head the way they came ,Make shelter and search for water and hope someone comes to find them ,18.739,94.059,126.779,9,100,100,100,90,100,100,75,90,100,30,50,69,15,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Be honest and say he lost them,Lie and say they were stolen,Pretend he forgot them and is going to look for them and never return,Try to replace them,Use other rings ,1.762,72.186,91.475,12,70,100,100,20,0,5,0,0,0,20,40,30,10,15,5,Let his father move in,Hire a nurse for his dad ,Make his dad move into a retirement home ,Let his dad try take care of himself ,Let his dad move in and hire a nurse ,7.456,68.208,70.312,9,90,100,100,100,98,100,30,10,40,5,0,10,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue and not say anything,Report him ,Ask if he needed help ,Take a break with him,Give him a ride back ,1.362,179.122,180.058,9,90,95,100,30,70,80,49,100,100,8,38,47,5,100,81,,32,Male,Hispanic / Latino,,College Graduate (4 year),Rung 4
100,804,TRUE,R_1jwhiJk39vQJn9X,Raise money,Sell some of his personal stuff,Rob someone,Ask for friends/family to lend him money,Take a loan,6.642,11.081,58.326,2,34,99,84,71,97,96,3,4,4,38,82,83,14,94,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honk his horn,Flash his hi-beams,Call him while driving ,Follow the car,Try to catch up and get a better look,7.976,7.976,106.381,1,84,78,94,78,89,93,85,86,94,34,86,76,73,81,85,Take her,Tell her to take a bus,Lie and say he can't,Leave her ,Call her an Uber,48.546,52.593,97.562,2,65,87,88,80,89,89,32,73,78,15,76,80,23,95,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lie and say there's no food,Try and distribute it evenly,Save it for himself,Throw it away in the water,Tell everyone that it's almost over,6.317,41.99,106.079,3,3,15,30,85,93,93,22,21,15,21,24,28,92,94,93,Cut it off,Yank him out even though it hurts,Cry loudly,Leave him and try and get help,Leave him to die,0,0,48.431,0,20,91,44,16,83,84,71,92,86,64,91,91,3,4,19,,,,,,,,,,,,,,,,,,,,,,,,,Stop and ask what's wrong,Continue going,Ignore him,Tell someone when she's done,Run over him,1.314,1.314,60.131,1,30,99,90,48,79,94,51,92,92,69,96,95,2,2,4,,21,Male,Hispanic / Latino,,Some College,Rung 6
100,1159,TRUE,R_5haREAmwGZzrvwd,Get a loan,Ask friends for help,Charge it,Put the dog done,Start a gofundme,1.105,1.105,45.04,1,0,38,2,97,100,96,91,100,100,0,10,30,70,91,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ask for an extension,Redo the assignment,Ask another student else for help,Cheat off another student,Don't turn in anything,1.21,49.25,66.956,2,100,100,100,100,100,97,42,81,60,6,0,15,0,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confront the kid,Ask the parents,Ignore the situation,Help get the  stuff from the ocean,Get the lifeguard,1.554,117.947,126.98,5,61,80,40,100,100,95,80,4,90,6,70,30,41,70,20,Blow the horn,Get next to the car and see if its Chuck,Do nothing,Call him on the phone,Speed up and pass the driver,0.975,82.334,90.384,3,93,97,98,62,46,80,12,94,78,71,0,80,30,3,60,Take his friend,Tell her he can't do it.,Make an excuse why he can't,Make her pay for gas,Put her in a cab and pay for it.,1.651,48.098,120.143,2,71,85,63,37,85,40,100,5,95,1,54,35,0,72,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Call someone else to cover for him,Close down the store until someone shows up,Try to change court appointment,Call a friend to help,Cancel court appointment if possible,2.412,167.182,192.997,2,88,85,99,1,1,6,25,68,70,10,5,2,0,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,36,Female,Black / African American,,College Graduate (4 year),Rung 5
100,861,TRUE,R_BY9vIwAuFI6Lmz7,,,,,,,,,,,,,,,,,,,,,,,,,Skip the trip,Try to walk to a place with a phone,Walk to the airport,Try to hitchhike,Try to fix his car,1.439,72.471,80.943,8,10,100,20,90,100,100,1,100,30,90,100,90,40,100,95,Call the police to report the missing money,Use his own money to cover the missing money,Burn the bakery down to cover the missing money,Explain the situation to his manager and ask for advice,Lie to the manager about the missing money,6.265,35.424,81.163,3,90,100,100,100,100,90,5,0,0,95,100,100,70,0,50,,,,,,,,,,,,,,,,,,,,,,,,,Explain the situation honestly to the teacher and ask for an extension,Try to replicate the homework quickly before class starts,Ask a classmate to copy their homework,Skip class,Lie to the teacher and ask for an extension,4.346,60.624,60.905,2,95,100,100,70,100,90,50,0,70,70,15,85,20,0,70,,,,,,,,,,,,,,,,,,,,,,,,,Give Ted her ticket and miss the concert,Try to help Ted sneak in without a ticket,Go to the concert without Ted,Skip the concert and do something else with Ted and their friends,Try to find a scalper to buy a ticket from,11.792,11.792,72.48,1,80,100,90,10,5,65,0,0,20,70,100,90,80,65,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Break the window,Call the police,Try to find the car's owner,Ignore it,Try to pick the locks on the car,2.63,2.63,41.043,1,70,100,85,100,100,95,50,90,90,0,0,50,10,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invite his father to live with him,Hire a caretaker to care for his father,Move his father into a nursing home,Move into his father's house to help care for him,Ignore the situation,10.732,79.733,175.295,2,30,100,90,95,85,100,90,20,90,5,100,75,1,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,White / Caucasian,,Some College,Rung 5
100,1302,TRUE,R_z7HEi7g8QQTmvnP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,She can wait for her friend to let her know in person.,She can ask a receptionist for help.,She can see if she can leave a message.,She can pay her dues.,She can ask for an extension of time.,1.401,72.903,84.934,7,100,100,100,100,100,100,100,100,100,80,100,100,80,70,80,Tell her teacher.,Redo her assignment.,Check her water bottle next time.,Ask teacher for advice.,Try to save her assignment.,17.8,88.401,114.556,6,100,100,100,80,100,100,100,100,100,100,100,100,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If he has his phone, Eamon could call Chuck to see if it's him.",Eamon should call the police if it's not Chuck.,Eamon should yell at Chuck for playing a dangerous prank.,Eamon could safely pull over.,Eamon could go down a side street to try to get away.,1.102,147.825,171.56,6,90,100,100,100,100,100,70,90,90,90,100,90,70,100,100,He could give her the ride.,He could explain that she's too far away.,He could come up with an excuse.,He could lie to her.,He could ask her for gas money.,48.002,166.003,180.718,5,75,100,100,70,100,100,80,40,50,80,30,40,50,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ration the food and water.,Figure out how to purify sea water.,Keep everyone calm.,Try to fish.,See if anyone has any food.,1.101,99.801,117.456,5,100,100,100,100,100,100,100,100,100,80,100,100,90,100,100,Eva should find water.,Eva should see if she can find service.,Todd should stay calm.,Todd should not move a lot.,Eva should find tree branches to keep Todd in the shade.,16.001,68.706,88.431,5,100,100,100,100,100,100,50,100,100,50,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 2
100,979,TRUE,R_1oqlphFIdExegAG,,,,,,,,,,,,,,,,,,,,,,,,,He could walk to the nearest place with cell service,He could try to flag down a car,He could accept he is going to miss his flight,He could stay in his car and hope someone stops,He could try to see if there are nearby houses who would let him make a call,0.682,107.712,109.49,5,65,100,100,51,100,83,40,100,72,24,100,49,30,96,70,,,,,,,,,,,,,,,,,,,,,,,,,She could see if a staff member will talk to the friend,She could flag someone else at the gym down and see if they can go to the racquetball court for her and ask the friend to come to the lobby,She could go back to the office and get her phone,She could ask a stranger to borrow their phone,She could pretend she forgot about the planned game,0.526,27.906,143.676,2,77,100,100,50,100,91,65,100,100,25,100,74,6,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,She could talk to the teenager to see what's going on,She could go talk to the family,She could retrieve their items,She could ask for help from anyone nearby,She could see if the teenager has anyone else he is with who is supervising him,0.647,52.684,54.435,3,39,100,100,77,100,100,50,100,95,33,100,100,66,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,She could stay a while to see if the owner returns,She could leave and not worry about it because it's cool outside,She could walk up to the car to check to see if the dog is okay,She could take a picture of the license plate,She could flag down security or someone else in the parking lot.,20.544,64.086,71.187,2,10,100,50,71,86,99,50,100,94,9,97,50,23,100,50,He could leave the line and dispose of the knife,He could be honest with the security upfront and ask for it to be removed,He could be quiet and hope it isn't caught,He could ask for help from nearby staff ,He could leave the line and try to get the knife mailed back to Japan,15.142,78.227,132.157,3,72,87,99,51,100,100,14,23,24,61,100,98,6,92,71,,,,,,,,,,,,,,,,,,,,,,,,,He could have his father move in with him,He could pay to put his father in a facility,He could hire someone who can take care of his father,He could see if other family members can take care of his father,He could leave his father to try to take care of himself,11.231,54.374,69.395,2,43,100,94,81,81,89,55,100,92,35,49,77,13,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 5
