,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,300,1,4,Ask for a guest pass,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Ask for a guest pass",4.480373,2.4041872,0.5650811,13.084706,3.4532533,4.6321626,3.5967798,4.977989,6.5561485,3.1622734,"[4.480372905731201, 2.4041872024536133, 0.5650811195373535, 13.08470630645752, 3.4532532691955566, 4.632162570953369, 3.5967798233032227, 4.977989196777344, 6.556148529052734, 3.162273406982422]",0.98666,-2.249048,4,"[ 4.4266562  2.4779828  0.5760152 13.127763   3.62923    4.6036353
  3.5107877  4.991278   6.500822   3.0656343]",0.24911379398850733,see if the gym will let her in so she can re-up her membership
1,301,2,4,I would pay for a new membership.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : pay for a new membership .",4.671855,1.7354656,-0.017868886,11.6884985,2.6535008,4.359352,4.2349777,4.365937,5.952024,3.7100902,"[4.6718549728393555, 1.7354656457901, -0.0178688857704401, 11.688498497009277, 2.65350079536438, 4.359352111816406, 4.234977722167969, 4.365937232971191, 5.952023983001709, 3.710090160369873]",2.9822767,-3.3547258,3,"[ 4.662543    1.7738341  -0.05658258 11.669699    2.5987718   4.33848
  4.2015634   4.395817    5.9539495   3.6741505 ]",0.10073044180631731,I would pay for a new membership.
2,302,3,4,Renew my membership.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Renew membership .",4.2995844,0.036275,-2.831922,8.101113,-0.24993642,0.6235051,6.0157714,3.8776798,3.4149573,5.2179193,"[4.29958438873291, 0.036274999380111694, -2.8319220542907715, 8.101113319396973, -0.24993641674518585, 0.6235051155090332, 6.015771389007568, 3.8776798248291016, 3.414957284927368, 5.21791934967041]",13.690974,-8.35437,1,"[ 4.3855176   0.11820149 -2.7464695   8.092189   -0.20210052  0.83776784
  6.02559     3.8426964   3.583623    5.1886053 ]",0.31670600994935355,I would renew my membership or pay a daily fee to go play.
3,303,4,4,leave a message,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : leave a message",4.639877,2.970536,0.4641998,14.541092,4.0512547,4.8008723,2.9095774,5.532231,7.4228706,3.2315564,"[4.639876842498779, 2.97053599357605, 0.46419981122016907, 14.541091918945312, 4.051254749298096, 4.800872325897217, 2.9095773696899414, 5.532230854034424, 7.422870635986328, 3.2315564155578613]",0.10889768,-0.72506773,6,"[ 4.505366    3.0150487   0.88269985 14.205157    3.8409889   5.212214
  2.9566467   5.484485    7.261293    2.7526133 ]",0.884008872995843,Liz can wait out front for her friend and they can go do something else.
4,304,5,4,Ask if the employee can let my friend know I will not be making it.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Ask if the employee can let friend know will not be making .",4.5431857,3.2164986,0.4911019,14.358499,4.0984893,4.5824804,3.3067846,5.183045,7.2228174,2.9871743,"[4.543185710906982, 3.216498613357544, 0.4911018908023834, 14.358498573303223, 4.098489284515381, 4.582480430603027, 3.3067846298217773, 5.183044910430908, 7.222817420959473, 2.9871742725372314]",0.38063878,-0.29231268,6,"[ 4.505366    3.0150487   0.88269985 14.205157    3.8409889   5.212214
  2.9566467   5.484485    7.261293    2.7526133 ]",0.9755550923786033,Liz can wait out front for her friend and they can go do something else.
5,305,6,4,I would ask to borrow the desk phone or go back to the office for my own phone,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : ask to borrow the desk phone or go back to the office for own phone",2.7658076,4.35191,0.16412771,15.990222,3.3107078,3.5576115,4.3749013,5.85625,7.4089756,1.9812644,"[2.765807628631592, 4.35191011428833, 0.16412770748138428, 15.990221977233887, 3.3107078075408936, 3.5576114654541016, 4.374901294708252, 5.856249809265137, 7.408975601196289, 1.981264352798462]",2.4620006,1.8183893,0,"[ 3.0451589   4.287237    0.22452636 15.615746    3.4567459   3.7791703
  4.14151     5.774601    7.315583    2.1895244 ]",0.6401157146477437,I'd try to renew my membership before my friend got there. If that wasn't an option I'd try to borrow someone's phone at the gym.
6,306,7,4,Renew my membership.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Renew membership .",4.2558937,-0.035151456,-2.8100457,8.033359,-0.2527215,0.5777682,6.037104,3.9518776,3.4846401,5.131007,"[4.255893707275391, -0.03515145555138588, -2.8100457191467285, 8.033358573913574, -0.25272148847579956, 0.5777682065963745, 6.03710412979126, 3.9518775939941406, 3.484640121459961, 5.131007194519043]",13.6207695,-8.37132,1,"[ 4.3855176   0.11820149 -2.7464695   8.092189   -0.20210052  0.83776784
  6.02559     3.8426964   3.583623    5.1886053 ]",0.3783555875823702,I would renew my membership or pay a daily fee to go play.
7,307,8,4,I would leave a note for her at the reception desk and describe her to the person working there so they could give her my note,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : leave a note for at the reception desk and describe to the person working there so give note",4.2383447,3.7246826,0.675338,14.567613,4.5108757,5.2755933,3.0791495,5.5217705,7.128512,2.4504046,"[4.238344669342041, 3.724682569503784, 0.6753379702568054, 14.567612648010254, 4.510875701904297, 5.275593280792236, 3.0791494846343994, 5.521770477294922, 7.128511905670166, 2.450404644012451]",-1.5652467,0.5711473,2,"[ 4.0232615   3.8295665   0.79824346 14.412087    4.3771515   5.393734
  3.20678     5.553976    6.9431596   2.2132375 ]",0.4861327883789318,go home
8,308,9,4,I would renew my membership or pay a daily fee to go play.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : renew membership or pay a daily fee to go play .",4.411528,0.112391375,-2.7687097,8.062712,-0.22171728,0.8794806,6.1044784,3.753083,3.6418803,5.1801705,"[4.41152811050415, 0.11239137500524521, -2.768709659576416, 8.062711715698242, -0.22171728312969208, 0.8794806003570557, 6.104478359222412, 3.7530829906463623, 3.6418802738189697, 5.18017053604126]",13.356752,-8.309099,1,"[ 4.3855176   0.11820149 -2.7464695   8.092189   -0.20210052  0.83776784
  6.02559     3.8426964   3.583623    5.1886053 ]",0.14804599051001494,I would renew my membership or pay a daily fee to go play.
9,309,10,4,I would wait for them to get there and tell them about it. I am sure that they would understand,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : wait for to get there and tell about . am sure that understand",4.629792,3.123357,1.3077848,14.322062,3.8888113,5.747517,2.7062669,5.5305963,7.530685,2.3972113,"[4.629792213439941, 3.123357057571411, 1.3077847957611084, 14.322061538696289, 3.8888113498687744, 5.747517108917236, 2.7062668800354004, 5.5305962562561035, 7.530684947967529, 2.3972113132476807]",-1.710955,-0.69883674,6,"[ 4.505366    3.0150487   0.88269985 14.205157    3.8409889   5.212214
  2.9566467   5.484485    7.261293    2.7526133 ]",0.8798362108293234,Liz can wait out front for her friend and they can go do something else.
