"","context_group","groupText","context","id","answer","text","group","value"
"1","1_1","ask family/friends",1,1,1,"Ask family/friends for money.",1,85
"2","1_1","ask family/friends",1,7,1,"Heinz could ask his family for help",1,100
"3","1_1","ask family/friends",1,8,1,"Ask family for money",1,93.3333333333333
"4","1_1","ask family/friends",1,16,1,"Ask a relative to borrow the money to purchase medication",1,70.6666666666667
"5","1_1","ask family/friends",1,19,1,"Ask friends and family for funds.",1,61.6666666666667
"6","1_1","ask family/friends",1,25,1,"Ask friends and family members for help",1,79.6666666666667
"7","1_1","ask family/friends",1,26,1,"ask for help",1,96.6666666666667
"8","1_1","ask family/friends",1,28,1,"Reach out to family",1,94
"9","1_1","ask family/friends",1,37,1,"Ask family for money ",1,100
"10","1_1","ask family/friends",1,38,1,"Ask a friend for some money.",1,100
"11","1_1","ask family/friends",1,40,1,"ask for help",1,71.3333333333333
"12","1_1","ask family/friends",1,46,1,"Heinz could seek help from friends.",1,96.3333333333333
"13","1_1","ask family/friends",1,51,1,"Call a pharmacist friend and plead for help.",1,14.6666666666667
"14","1_1","ask family/friends",1,52,1,"ask a friend to borrow the money",1,80
"15","1_1","ask family/friends",1,61,1,"Seek help from social nertworks",1,43.3333333333333
"16","1_1","ask family/friends",1,63,1,"ask relatives and friends to borrow money",1,98.3333333333333
"17","1_1","ask family/friends",1,69,1,"Ask family for help",1,100
"18","1_1","ask family/friends",1,74,1,"Go ask for help with purchasing the medication from family.",1,81.3333333333333
"19","1_1","ask family/friends",1,80,1,"Ask friends for money.",1,76.6666666666667
"20","1_1","ask family/friends",1,92,1,"Ask people for money",1,66.6666666666667
"21","1_1","ask family/friends",1,4,2,"ask family for help",1,90.3333333333333
"22","1_1","ask family/friends",1,7,2,"Heinz could ask friends for help",1,93.3333333333333
"23","1_1","ask family/friends",1,11,2,"reach out to family members and ask for money",1,100
"24","1_1","ask family/friends",1,12,2,"Heinz try to get help from others",1,54.3333333333333
"25","1_1","ask family/friends",1,23,2,"Ask family for help.",1,81.6666666666667
"26","1_1","ask family/friends",1,27,2,"ask family for a loan",1,90
"27","1_1","ask family/friends",1,30,2,"ask friends for money",1,69.6666666666667
"28","1_1","ask family/friends",1,36,2,"Ask family for help",1,96.6666666666667
"29","1_1","ask family/friends",1,39,2,"Borrow the money from family.",1,98
"30","1_1","ask family/friends",1,59,2,"Ask family for money.",1,93.6666666666667
"31","1_1","ask family/friends",1,62,2,"Ask family",1,87.3333333333333
"32","1_1","ask family/friends",1,65,2,"Ask family members in person",1,100
"33","1_1","ask family/friends",1,70,2,"ask friends and family for help",1,100
"34","1_1","ask family/friends",1,72,2,"Borrow money from a relative or friend",1,66.6666666666667
"35","1_1","ask family/friends",1,74,2,"Ask friends what they can do to help Heinz with getting the medication for his wife.",1,68.3333333333333
"36","1_1","ask family/friends",1,76,2,"Ask relatives and friends for funds",1,83.3333333333333
"37","1_1","ask family/friends",1,81,2,"Ask family and friends to help pay for the medicine.",1,94.6666666666667
"38","1_1","ask family/friends",1,93,2,"Ask family or friends for money",1,83.6666666666667
"39","1_1","ask family/friends",1,100,2,"Ask a family member or friend for money",1,99.6666666666667
"40","1_1","ask family/friends",1,102,2,"Try to get a loan from a friend or family member.",1,65.3333333333333
"41","1_1","ask family/friends",1,104,2,"Borrow money from friend",1,75
"42","1_1","ask family/friends",1,10,3,"Borrow from family and friends",1,97
"43","1_1","ask family/friends",1,23,3,"Ask friends and strangers for help.",1,71.6666666666667
"44","1_1","ask family/friends",1,27,3,"ask friends for a loan",1,65.3333333333333
"45","1_1","ask family/friends",1,30,3,"ask family for money",1,73.6666666666667
"46","1_1","ask family/friends",1,31,3,"Get help from a friend",1,79.6666666666667
"47","1_1","ask family/friends",1,33,3,"Ask a relative to pay for the medication. ",1,81.6666666666667
"48","1_1","ask family/friends",1,36,3,"Ask friends for help",1,86.6666666666667
"49","1_1","ask family/friends",1,40,3,"friends",1,80
"50","1_1","ask family/friends",1,42,3,"borrow from family",1,60
"51","1_1","ask family/friends",1,49,3,"Ask his family and friends to borrow him some money",1,94
"52","1_1","ask family/friends",1,59,3,"Ask friends for money.",1,84.3333333333333
"53","1_1","ask family/friends",1,66,3,"Borrow money from a family member",1,51.6666666666667
"54","1_1","ask family/friends",1,69,3,"Ask a friend for help",1,59.6666666666667
"55","1_1","ask family/friends",1,78,3,"ask family for help",1,100
"56","1_1","ask family/friends",1,95,3,"ask friends and family for help",1,93.3333333333333
"57","1_1","ask family/friends",1,61,4,"He asks for help with friends",1,25
"58","1_1","ask family/friends",1,66,4,"Borrow money from a friend",1,33.3333333333333
"59","1_1","ask family/friends",1,67,4,"borrow money from other family",1,50
"60","1_1","ask family/friends",1,71,4,"Ask someone else for the medicine",1,68
"61","1_1","ask family/friends",1,77,4,"ask for help from family",1,95.6666666666667
"62","1_1","ask family/friends",1,78,4,"ask friends for help",1,100
"63","1_1","ask family/friends",1,82,4,"Ask their kids for help",1,100
"64","1_1","ask family/friends",1,83,4,"Ask friends for financial help",1,98
"65","1_1","ask family/friends",1,87,4,"He will ask family or friends for help.",1,100
"66","1_1","ask family/friends",1,89,4,"contact relatives/friends",1,100
"67","1_1","ask family/friends",1,99,4,"Ask friends for money to help",1,78.6666666666667
"68","1_1","ask family/friends",1,6,5,"Beg relatives and friends for cash",1,23
"69","1_1","ask family/friends",1,12,5,"Heinz try to get help from his friends",1,57.3333333333333
"70","1_1","ask family/friends",1,14,5,"ask a family memeber to borrow the money",1,88
"71","1_1","ask family/friends",1,40,5,"family",1,78.6666666666667
"72","1_1","ask family/friends",1,43,5,"Borrow money from family.",1,93.6666666666667
"73","1_1","ask family/friends",1,48,5,"borrow money from friends/family",1,70.3333333333333
