,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,400,0,5,Explain to the teacher and ask for an extra day,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Explain to the teacher and ask for an extra day,14,"[13.196261   8.577047  -4.093972   7.2999225  8.998908   3.815432
  3.9609869 13.139896   9.391506   8.301111 ]",13.263416,8.625678,-3.8640487,7.3345904,8.915295,3.921625,3.93078,13.121572,9.469591,8.184042,"[13.263416290283203, 8.625678062438965, -3.864048719406128, 7.334590435028076, 8.915294647216797, 3.9216248989105225, 3.9307799339294434, 13.12157154083252, 9.46959114074707, 8.184041976928711]",0.3166389805872152,13.9179,11.428734,Ask for more time to complete assignment .
1,401,1,5,"I tell them to call my mom, so I can turn in my homework assignment.",decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : tell to call mom , so can turn in homework assignment .",11,"[11.69829    8.002291  -6.6156006  7.417496  10.351072   2.9331954
  3.9679167 13.640287   8.800091  10.019163 ]",11.645913,8.002307,-6.605173,7.437801,10.382962,2.9515808,4.0074,13.6573925,8.761268,10.052608,"[11.645913124084473, 8.002306938171387, -6.605173110961914, 7.437800884246826, 10.382962226867676, 2.951580762863159, 4.007400035858154, 13.657392501831055, 8.76126766204834, 10.052607536315918]",0.09537612822845332,20.402416,13.943254,try to call mom
2,402,2,5,"Go to the office and call home, then have mom call the teacher.",decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Go to the office and call home , then have mom call the teacher .",13,"[11.804651   7.9424934 -6.2021704  7.3725286  9.496724   3.8684497
  4.034539  13.0216675  8.640574   9.649364 ]",12.065233,7.839764,-6.3275576,6.9160237,9.56768,3.603308,3.7972665,12.847212,9.03952,9.471839,"[12.06523323059082, 7.83976411819458, -6.327557563781738, 6.9160237312316895, 9.567680358886719, 3.6033079624176025, 3.7972664833068848, 12.847211837768555, 9.039520263671875, 9.47183895111084]",0.8095158988167137,19.047773,13.214821,Go home and pick up the assignment .
3,403,3,5,explain to the teacher,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : explain to the teacher,7,"[12.727346   9.163874  -5.49386    8.490423   8.571429   4.340107
  3.6508567 13.686178   9.136482   8.915009 ]",12.655609,9.096062,-5.4876595,8.521465,8.615835,4.345493,3.7545762,13.722973,8.9902315,9.043171,"[12.655609130859375, 9.096061706542969, -5.487659454345703, 8.521465301513672, 8.615835189819336, 4.345492839813232, 3.7545762062072754, 13.722972869873047, 8.99023151397705, 9.043170928955078]",0.25034795696998746,16.144327,13.042234,Explain the situation to the teacher
4,404,4,5,Explain to the teacher what happened.,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Explain to the teacher what happened .,7,"[12.727346   9.163874  -5.49386    8.490423   8.571429   4.340107
  3.6508567 13.686178   9.136482   8.915009 ]",12.839752,9.207897,-5.4621143,8.57115,8.53165,4.339341,3.5438793,13.76851,9.3420925,8.808346,"[12.839752197265625, 9.207897186279297, -5.462114334106445, 8.571149826049805, 8.531649589538574, 4.339341163635254, 3.543879270553589, 13.768509864807129, 9.342092514038086, 8.808345794677734]",0.3091211797389013,15.810762,12.47869,Explain the situation to the teacher
5,405,5,5,Ask the teacher to call my mom.,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Ask the teacher to call mom .,11,"[11.69829    8.002291  -6.6156006  7.417496  10.351072   2.9331954
  3.9679167 13.640287   8.800091  10.019163 ]",11.863837,8.099547,-6.49613,7.4209566,10.281129,2.8462346,3.8858948,13.653444,8.927214,9.844143,"[11.863837242126465, 8.099547386169434, -6.496129989624023, 7.420956611633301, 10.281128883361816, 2.8462345600128174, 3.885894775390625, 13.653444290161133, 8.927213668823242, 9.84414291381836]",0.3424868723986585,20.342535,13.675042,try to call mom
6,406,6,5,Talk to my teacher and ask if I can bring it the next day,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : Talk to teacher and ask if can bring the next day,12,"[12.783294   8.307647  -5.680399   7.2312675  9.350132   3.3378043
  3.63389   13.066942   9.328015   8.765909 ]",13.166458,8.568159,-5.4424253,7.374542,9.238503,3.1672199,3.6389737,13.274754,9.438863,8.58978,"[13.166458129882812, 8.568159103393555, -5.44242525100708, 7.374542236328125, 9.238503456115723, 3.167219877243042, 3.6389737129211426, 13.27475357055664, 9.438862800598145, 8.5897798538208]",0.6480130249195486,18.104113,11.343963,Offer the teacher to bring in the evening
7,407,7,5,I would explain the situation to the teacher,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : explain the situation to the teacher,7,"[12.727346   9.163874  -5.49386    8.490423   8.571429   4.340107
  3.6508567 13.686178   9.136482   8.915009 ]",12.718446,9.310829,-5.4117246,8.428871,8.476832,4.28594,3.634304,13.579109,9.143413,8.832483,"[12.718445777893066, 9.310829162597656, -5.41172456741333, 8.428871154785156, 8.476832389831543, 4.285940170288086, 3.6343040466308594, 13.579109191894531, 9.143412590026855, 8.832483291625977]",0.25037732319655204,15.969845,12.771604,Explain the situation to the teacher
8,408,8,5,"I would explain the situation to my teacher. Then I would ask the office to call my mom. Although, in this scenario I am an elementary school student so I may just cry.",decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,"is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : explain the situation to teacher . Then ask the office to call mom . Although , in this scenario am an elementary school student so may just cry .",2,"[13.004956   8.910637  -5.3761754  7.8856173  8.928731   3.5947113
  3.2540739 13.375226   9.670879   8.441069 ]",12.835281,8.672711,-5.7572627,7.7143464,9.111828,3.3939793,3.1248734,13.231338,9.678029,8.6238365,"[12.835281372070312, 8.672711372375488, -5.757262706756592, 7.714346408843994, 9.111827850341797, 3.39397931098938, 3.124873399734497, 13.231337547302246, 9.67802906036377, 8.623836517333984]",0.6361045680433512,16.983307,11.758729,explain the situation to the teacher and ask to call mother to bring the homework to school
9,409,9,5,I would tell the teacher what happened and just accept it. ,decision,,,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,is about to go to final class of the day when remembers that there is a homework assignment that is due . ’ s mom accidentally took homework assignment out of backpack when was making room for lunch . Now has nothing to turn in for credit . : tell the teacher what happened and just accept .,6,"[13.377855   9.460932  -5.152735   8.390671   8.590652   3.4943686
  2.3931391 13.34305   10.334571   7.7474413]",13.340522,9.350573,-5.154711,8.235591,8.685097,3.4662414,2.577013,13.319107,10.21964,7.854342,"[13.340521812438965, 9.35057258605957, -5.15471076965332, 8.235590934753418, 8.685096740722656, 3.4662413597106934, 2.5770130157470703, 13.319107055664062, 10.219639778137207, 7.854341983795166]",0.32612459385790893,15.329468,10.484338,tell the teacher the situation
