,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,100,1,2,Call someone to help,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : Call someone to help",1,"[-2.390262   5.120363   6.704292   2.1099007 10.56853    6.2783346
 -0.9195085 10.552999   5.2846255  4.4546084]",-2.3399055,5.1255803,6.5111356,2.1639678,10.51005,6.1790123,-1.0293145,10.357034,4.9772897,4.875318,"[-2.3399055004119873, 5.125580310821533, 6.511135578155518, 2.1639678478240967, 10.510049819946289, 6.179012298583984, -1.0293145179748535, 10.357033729553223, 4.97728967666626, 4.8753180503845215]",0.6148104632115806,-11.185799,8.096487,call for help
1,101,2,2,"I would call a towtruck to tow my car to the airport, so I can catch my flight. I will worry about my car being broken when I get home.",decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : call a towtruck to tow car to the airport , so can catch flight . will worry about car being broken when get home .",0,"[-1.1439953   8.61156     6.0171895  -0.19855309  9.435864    7.1643734
 -0.5379038   9.567295    4.4996457   4.9682193 ]",-1.1517752,8.708365,5.973082,-0.31456637,9.476637,7.244686,-0.5622628,9.668738,4.5338492,4.936872,"[-1.1517752408981323, 8.708365440368652, 5.973082065582275, -0.31456637382507324, 9.47663688659668, 7.244686126708984, -0.562262773513794, 9.66873836517334, 4.533849239349365, 4.9368720054626465]",0.2144424314347059,-6.8487425,10.411505,Call for a tow and miss the flight .
2,102,3,2,Push the car out of the way and start dealing with the issue.,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : Push the car out of the way and start dealing with the issue .",10,"[-2.1127717  6.1452737  6.9600034  1.7164017 10.268011   6.4096627
 -0.8437228 10.520057   5.614682   3.6861115]",-2.1394873,5.949937,6.990909,1.8325077,10.323251,6.369811,-0.8316233,10.480018,5.645374,3.6745028,"[-2.1394872665405273, 5.949936866760254, 6.990909099578857, 1.8325077295303345, 10.323250770568848, 6.369811058044434, -0.8316233158111572, 10.48001766204834, 5.645373821258545, 3.6745028495788574]",0.24651937738316257,-9.473084,7.8217416,Move car somewhere safe .
3,103,4,2,just continue my way there,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : just continue way there",9,"[-2.7439194   5.0426826   7.222811    2.1023674  10.832406    6.8513513
  0.14485902  9.982462    6.195339    2.7111943 ]",-2.7258914,5.002092,7.3227363,2.292577,10.73273,6.568638,-0.21261065,10.288001,6.1625185,2.9870422,"[-2.725891351699829, 5.002091884613037, 7.3227362632751465, 2.292577028274536, 10.7327299118042, 6.568637847900391, -0.2126106470823288, 10.28800106048584, 6.162518501281738, 2.987042188644409]",0.6605357905762476,-8.817149,6.2936616,walk home
4,104,5,2,Call a tow truck to take me to airport parking.,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : Call a tow truck to take to airport parking .",0,"[-1.1439953   8.61156     6.0171895  -0.19855309  9.435864    7.1643734
 -0.5379038   9.567295    4.4996457   4.9682193 ]",-1.0703726,8.721229,6.0481763,-0.31770748,9.330444,7.241759,-0.5084534,9.395225,4.5237813,5.002119,"[-1.0703725814819336, 8.72122859954834, 6.048176288604736, -0.31770747900009155, 9.3304443359375, 7.241758823394775, -0.5084534287452698, 9.395224571228027, 4.5237812995910645, 5.002119064331055]",0.2862074274159952,-6.9106746,10.681273,Call for a tow and miss the flight .
5,105,6,2,I would call a Lyft and ask my husband to call AAA for the car to have it towed home or to the mechanic's.,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : call a Lyft and ask husband to call AAA for the car to have towed home or to the mechanic 's .",0,"[-1.1439953   8.61156     6.0171895  -0.19855309  9.435864    7.1643734
 -0.5379038   9.567295    4.4996457   4.9682193 ]",-1.1752753,8.659336,5.9909115,-0.1792832,9.462918,7.070579,-0.62373656,9.782591,4.522465,4.9175034,"[-1.1752753257751465, 8.65933609008789, 5.990911483764648, -0.17928320169448853, 9.462918281555176, 7.0705790519714355, -0.623736560344696, 9.782590866088867, 4.522465229034424, 4.917503356933594]",0.2658280246135686,-6.646924,10.427661,Call for a tow and miss the flight .
6,106,7,2,Call an uber or Taxi.,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : Call an uber or Taxi .",5,"[ 0.20272338  9.71269     7.263616   -0.4809376   8.342899    6.013
 -0.61147726  9.006814    5.1451864   5.020111  ]",-0.045536537,9.620213,7.274678,-0.31359613,8.339794,6.099616,-0.5463108,8.769601,5.192021,4.887371,"[-0.04553653672337532, 9.62021255493164, 7.2746782302856445, -0.31359612941741943, 8.339794158935547, 6.099616050720215, -0.5463107824325562, 8.769600868225098, 5.192020893096924, 4.887371063232422]",0.4314542521730821,-5.46182,12.653659,try to get an Uber ride
7,107,8,2,call a cab,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : call a cab",4,"[-2.9575272   7.1283236   6.4784694   1.134911    9.52641     6.8664184
  0.02739888  8.348854    4.893405    3.7567372 ]",-2.874041,7.1677046,6.4395385,1.0227612,9.535602,6.7873793,0.04620738,8.468183,4.82261,3.819918,"[-2.8740410804748535, 7.1677045822143555, 6.439538478851318, 1.0227612257003784, 9.535601615905762, 6.787379264831543, 0.046207379549741745, 8.468182563781738, 4.822609901428223, 3.819917917251587]",0.22922132584475535,-9.056548,13.186298,Call a cab .
8,108,9,2,I would call the police to report my situation and call AAA to move my car.,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : call the police to report situation and call AAA to move car .",12,"[-1.206726    9.072979    6.1779675  -0.10634744  9.191423    6.565556
 -0.97227705 10.605707    4.7445016   4.149551  ]",-1.2147442,8.807047,6.1631055,-0.053387146,9.306724,6.752081,-0.8271996,10.278365,4.6820574,4.440502,"[-1.214744210243225, 8.807046890258789, 6.163105487823486, -0.053387146443128586, 9.306723594665527, 6.752080917358398, -0.8271995782852173, 10.278365135192871, 4.6820573806762695, 4.440502166748047]",0.5819344337353348,-5.9216495,10.080431,call AAA
9,109,10,2,Call a tow truck and an uber and have both ready to pick up the car and me. ,decision,,,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","is on the way to the airport to catch a flight to a hunting safari in Africa . leaves with plenty of time to make there , but car breaks down on the highway . Now is sitting in car near a busy intersection , and knows needs to get to airport soon if is going to catch flight . : Call a tow truck and an uber and have both ready to pick up the car and .",11,"[-0.21018863  9.233235    6.8250027  -0.25321233  8.709566    6.424312
 -0.5600412   9.223632    4.918278    5.0185785 ]",-0.2317176,9.280575,6.8156443,-0.31135133,8.665595,6.4127793,-0.5915847,9.158278,4.9478335,5.006292,"[-0.23171760141849518, 9.280574798583984, 6.815644264221191, -0.31135132908821106, 8.665595054626465, 6.412779331207275, -0.5915846824645996, 9.158278465270996, 4.94783353805542, 5.00629186630249]",0.12053729035505226,-5.9871526,11.749744,Get towed and call an Uber
